Sample,Sample_Description,Method,Outcome,N_Obs,N_Firms,Coefficient,SE_OLS,SE_Clustered,T_Stat,P_Value_OLS,P_Value_Clustered,P_Value_Bootstrap,CI_Lower_95,CI_Upper_95,Sig_Clustered,Sig_Bootstrap
66_strict,66 firms (excluding post-2016 GHGRP entrants),OLS,green_patent_stock,935,66,19.906415181775483,7.46563425150429,15.545394880344805,1.280534546404134,0.007812523168708882,0.2003572029957562,0.4957478739369685,-30.737316269781328,28.438494594087317,No,No
66_strict,66 firms (excluding post-2016 GHGRP entrants),WLS,green_patent_stock,935,66,-1.2800333979448837,,22.816701316584545,-0.056100721142125776,,0.9552615694567419,0.959479739869935,-49.49638977190813,56.37768591123125,No,No
66_strict,66 firms (excluding post-2016 GHGRP entrants),OLS,intensity_co2e_per_m_gdp,935,66,-181.35695508221704,54.165680092464136,120.71935879571518,-1.502302173333397,0.0008492173690583503,0.13301908763430223,0.5092546273136568,-222.32935362348138,229.43172596806795,No,No
66_strict,66 firms (excluding post-2016 GHGRP entrants),WLS,intensity_co2e_per_m_gdp,935,66,-313.9747520481747,,248.1139428887284,-1.2654458205477912,,0.20571155860785217,0.5132566283141571,-451.22844607247123,688.5973163322999,No,No
66_strict,66 firms (excluding post-2016 GHGRP entrants),OLS,ln_emissions,935,66,0.05346781501076314,0.07173561248208703,0.1626693298836581,0.32869020268912147,0.45626917825542157,0.7423898603740107,0.7543771885942971,-0.31208446496829884,0.31654095190930015,No,No
66_strict,66 firms (excluding post-2016 GHGRP entrants),WLS,ln_emissions,935,66,-0.20341246046669692,,0.3745387392050457,-0.5431012580926544,,0.5870600864724581,0.688344172086043,-0.865757313397171,1.0942803209459377,No,No
101_full,101 firms (all multi-province),OLS,green_patent_stock,1158,101,10.724114916462778,6.0276498862885886,12.40146631486024,0.864745719916398,0.07550743214355235,0.3871783694223293,0.5407703851925963,-24.313460944363296,23.730602091764922,No,No
101_full,101 firms (all multi-province),WLS,green_patent_stock,1158,101,-1.9780060811164901,,21.72725537183618,-0.09103800950765592,,0.9274623892206282,0.9309654827413707,-51.09996178008967,52.90096835480765,No,No
101_full,101 firms (all multi-province),OLS,intensity_co2e_per_m_gdp,1158,101,-121.52042818375953,43.26971001382018,94.86396092314244,-1.2809967768709745,0.0050716480188801715,0.20019479820521235,0.496248124062031,-172.40704473805584,172.41367906159707,No,No
101_full,101 firms (all multi-province),WLS,intensity_co2e_per_m_gdp,1158,101,-295.3905011496881,,237.07536859296036,-1.245977188194739,,0.21277277011595352,0.5102551275637819,-417.1561994880001,639.6623485910786,No,No
101_full,101 firms (all multi-province),OLS,ln_emissions,1158,101,0.057862129159170606,0.059856045845117285,0.12894449637764635,0.4487367106363875,0.33392534920954153,0.6536215990507122,0.695847923961981,-0.2525417541255675,0.2376959616009153,No,No
101_full,101 firms (all multi-province),WLS,ln_emissions,1158,101,-0.17809630805860793,,0.3571661041818818,-0.4986372054160965,,0.6180349895995154,0.7018509254627313,-0.7931518117077876,1.0260145753831953,No,No
