outcome,dimension,n_firms_high,n_firms_low,low_coef,low_se,low_p,high_coef,high_se,high_p,diff,diff_p,N
green_patent_stock,EITE sector (vs. non-EITE),56,10,-28.2465314087113,24.776962408389938,0.25427294612469353,29.023592473748913,17.68347654947119,0.10073864772818913,57.27012388246021,0.06878555085900254,935
green_patent_stock,Above-median 2018 emissions (vs. below),33,33,24.035945359270542,20.96872488666688,0.25168098447409337,6.249210038014576,22.133863635420507,0.7776850693783229,-17.786735321255968,0.5659362298782012,935
green_patent_stock,Prior green patents in 2018 (vs. none),25,41,-1.275706194906202,5.337082921257376,0.8110847517605985,60.895807561541595,29.33523720957936,0.03790702084753804,62.171513756447794,0.04170742162299498,935
intensity_co2e_per_m_gdp,EITE sector (vs. non-EITE),56,10,-916.0871353587463,449.5980378315876,0.04159303018363441,-48.12926698498535,103.21144041179649,0.6409884891729827,867.9578683737609,0.06569698519456635,935
intensity_co2e_per_m_gdp,Above-median 2018 emissions (vs. below),33,33,-199.01958214648923,210.76873334246184,0.3450389874675224,-225.82892455860795,184.20501489770436,0.22021179838214122,-26.809342412118724,0.9242841226775826,935
intensity_co2e_per_m_gdp,Prior green patents in 2018 (vs. none),25,41,42.71504787038405,36.91943055402436,0.24728047512040596,-510.2706404612034,279.08685774820356,0.0674958665159435,-552.9856883315874,0.05486136134564473,935
ln_E,EITE sector (vs. non-EITE),56,10,-0.6048522523768575,0.3928541326933219,0.12364917533563675,0.18356717439756776,0.16755099486878117,0.27325829232633925,0.7884194267744252,0.06916176362386366,935
ln_E,Above-median 2018 emissions (vs. below),33,33,-0.004512079970499405,0.19387367363592128,0.9814322702724045,0.1373175014584478,0.26360149835348273,0.6024166645093265,0.1418295814289472,0.6661133346075921,935
ln_E,Prior green patents in 2018 (vs. none),25,41,0.26482417252626234,0.19015225394293658,0.16371191520247008,-0.3016539243406344,0.25468798593290154,0.2362524706485546,-0.5664780968668968,0.0809156537188518,935
ln_I,EITE sector (vs. non-EITE),56,10,-0.5041940907559993,0.39831602007061706,0.20557959519840985,-0.30640720330449683,0.21365904816752815,0.1515453807596395,0.19778688745150247,0.6628106961579666,934
ln_I,Above-median 2018 emissions (vs. below),33,33,-0.4981341753329326,0.3364264096774873,0.1386963678939325,-0.2819076281722579,0.22080605268070672,0.2017009186366342,0.2162265471606747,0.5921381675050161,934
ln_I,Prior green patents in 2018 (vs. none),25,41,-0.17298675139860276,0.28957041117482346,0.5502463752149779,-0.6128340273022911,0.23452931655312573,0.00897413112474038,-0.43984727590368833,0.243428830364253,934
ln_Y,EITE sector (vs. non-EITE),56,10,-0.10062812311969063,0.21324307749343122,0.6370024699953291,0.490217685996988,0.18086140546280483,0.0067189861590464224,0.5908458091166786,0.037500259353433464,934
ln_Y,Above-median 2018 emissions (vs. below),33,33,0.49383980883518497,0.29001500097232946,0.0886040407092324,0.4192213302729845,0.20415402123783635,0.040028358460019606,-0.07461847856220044,0.8342930422747269,934
ln_Y,Prior green patents in 2018 (vs. none),25,41,0.43795624663269117,0.2089642638366832,0.036096138725423124,0.3111865123855805,0.22083523465770238,0.1587954487672576,-0.1267697342471107,0.6776575790157605,934
