coef,se,p,ci_lo,ci_hi,N,firms,outcome,period,sig
19.039596094450786,12.731601420081052,0.1347945252155089,-5.913884154427084,43.99307634332865,935,66,green_patent_stock,2016-17 announcement,
31.67918462929706,15.386867057030146,0.039509024982468895,1.5214793626121583,61.836889895981955,935,66,green_patent_stock,2018 legislation,**
26.20410236851275,18.373038932618066,0.15380317122926046,-9.806392225970896,62.214596962996396,935,66,green_patent_stock,2019+ implementation,
2.444812201253461,,0.07183442120711832,,,935,66,green_patent_stock,joint F (all three = 0),*
-139.9239409920179,79.39806087634479,0.0780170536368311,-295.5412807519724,15.6933987679366,935,66,intensity_co2e_per_m_gdp,2016-17 announcement,*
-209.0011326693225,131.6041977539245,0.11226285867464618,-466.94062048130155,48.938355142656576,935,66,intensity_co2e_per_m_gdp,2018 legislation,
-225.23629240116432,140.94236761662393,0.1100265735931583,-501.4782568255516,51.00567202322301,935,66,intensity_co2e_per_m_gdp,2019+ implementation,
1.2335539128716555,,0.3047181418731711,,,935,66,intensity_co2e_per_m_gdp,joint F (all three = 0),
-0.06344578500343333,0.12904629510146448,0.6229658369614868,-0.3163718757406313,0.18948030573376462,935,66,ln_E,2016-17 announcement,
-0.01964159744412491,0.1318351751369532,0.8815646678317823,-0.2780337926080836,0.23875059771983376,935,66,ln_E,2018 legislation,
0.041152347377493514,0.18762959440905444,0.8263948687762251,-0.3265949000981111,0.4088995948530981,935,66,ln_E,2019+ implementation,
0.29924627845965407,,0.8258132339823395,,,935,66,ln_E,joint F (all three = 0),
-0.35545214991828555,0.18794692659741616,0.05859273679076139,-0.7238213570542145,0.012917057217643302,934,66,ln_I,2016-17 announcement,*
-0.4174946841010511,0.20422253165134233,0.04092268037721396,-0.8177634909692733,-0.017225877232828923,934,66,ln_I,2018 legislation,**
-0.4465965868282736,0.22814008130886884,0.050282339605169916,-0.8937429296236961,0.0005497559671489016,934,66,ln_I,2019+ implementation,*
1.54229182627516,,0.21197076191073735,,,934,66,ln_I,joint F (all three = 0),
0.29224450131771307,0.1665923688124876,0.07938784535214183,-0.03427054165397636,0.6187595442894025,934,66,ln_Y,2016-17 announcement,*
0.3980951083991919,0.18267901353002003,0.029316406606181008,0.0400508211490474,0.7561393956493363,934,66,ln_Y,2018 legislation,**
0.48803259272602806,0.19309010843122365,0.011488232467280248,0.10958293442989586,0.8664822510221603,934,66,ln_Y,2019+ implementation,**
2.194408049449232,,0.09710964983736356,,,934,66,ln_Y,joint F (all three = 0),*
