sample,k,coef,se,p
All firms with Alberta and non-Alberta facilities,kle7,0.15427744525917284,0.48905846508752676,0.7524138733340813
All firms with Alberta and non-Alberta facilities,k-6,0.12990042571481278,0.3682221781405013,0.7242554031818375
All firms with Alberta and non-Alberta facilities,k-5,0.13523923724252168,0.3551681328425597,0.7033700203037385
All firms with Alberta and non-Alberta facilities,k-4,0.07822932213562052,0.33114182987644164,0.8132455606513036
All firms with Alberta and non-Alberta facilities,k-3,0.2360714436597882,0.32773931529928313,0.47133877427924886
All firms with Alberta and non-Alberta facilities,k-2,0.03601205941231426,0.2170375205726703,0.8682155784926296
All firms with Alberta and non-Alberta facilities,k0,0.02732733968690576,0.11300324429183153,0.8089135027130786
All firms with Alberta and non-Alberta facilities,k1,0.13737428678802535,0.19895189168972102,0.4898861119210476
All firms with Alberta and non-Alberta facilities,k2,0.14497182675211784,0.2515404534599062,0.5643880727764434
All firms with Alberta and non-Alberta facilities,k3,0.1674226016419956,0.24569053892053502,0.4955950745844643
All firms with Alberta and non-Alberta facilities,k4,0.1532482936954601,0.21812523641508064,0.48232363135524425
