sample,k,coef,se,p
"Large incumbents (>=50 kt in 2018, observed by 2016)",kle7,0.13317688245532505,0.5357328309424635,0.8036793048177828
"Large incumbents (>=50 kt in 2018, observed by 2016)",k-6,0.1185672520721552,0.38991505046575914,0.7610632633886681
"Large incumbents (>=50 kt in 2018, observed by 2016)",k-5,0.1288364041056344,0.3814479609142258,0.7355469384948461
"Large incumbents (>=50 kt in 2018, observed by 2016)",k-4,0.07211474757864368,0.36339945018437353,0.8426970337709001
"Large incumbents (>=50 kt in 2018, observed by 2016)",k-3,0.1853912980668957,0.3530528126627272,0.5995072453863217
"Large incumbents (>=50 kt in 2018, observed by 2016)",k-2,0.08070185538754361,0.2759424666411274,0.7699357102587349
"Large incumbents (>=50 kt in 2018, observed by 2016)",k0,-0.02707925670508267,0.12602955639025945,0.8298730927246948
"Large incumbents (>=50 kt in 2018, observed by 2016)",k1,0.1542225655618535,0.25951407944958094,0.5523286194168067
"Large incumbents (>=50 kt in 2018, observed by 2016)",k2,-0.008191140508677103,0.31652403245506106,0.9793543160121502
"Large incumbents (>=50 kt in 2018, observed by 2016)",k3,-0.022237492177028074,0.31195904914695854,0.9431722307527406
"Large incumbents (>=50 kt in 2018, observed by 2016)",k4,0.04703594397349702,0.2748981491531491,0.8641426455451839
