outcome,block,a_coef,a_se,a_p,b_coef,b_se,b_p,diff_p,N,a_label,b_label,c_coef,c_se,c_p
green_patent_stock,period,24.74161736298418,16.207405610733804,0.12686984193459963,11.717718394378002,16.130920993965386,0.4675853321992606,0.16947580991173297,935,2019-2021 (WTI $40-68),2022-2023 (WTI $78-95),,,
green_patent_stock,sector,-33.06731668250382,16.321027586588233,0.04275904121524929,53.17304337656226,25.21753562753699,0.03498135740484721,0.004052215307928306,935,"Oil, gas, refining, pipelines (26 firms)",Other sectors (41 firms),,,
green_patent_stock,interaction,19.44883125974724,15.545943489987314,0.21091439008842683,16.729989890432694,19.423876244207218,0.3890670164933371,,935,Alberta x post,Alberta x post x (ln WTI - mean),-31.978418240472152,12.620965208871663,0.01128479949281662
intensity_co2e_per_m_gdp,period,-238.45522686279423,130.29770277254062,0.06723796911191128,-84.65770297801207,148.26012424103843,0.5679942841746393,0.2575034659201488,935,2019-2021 (WTI $40-68),2022-2023 (WTI $78-95),,,
intensity_co2e_per_m_gdp,sector,69.32935524798923,72.28084243043212,0.33747492546492763,-363.41974957222357,191.11042295984402,0.05722061374539044,0.03189019697974849,935,"Oil, gas, refining, pipelines (26 firms)",Other sectors (41 firms),,,
intensity_co2e_per_m_gdp,interaction,-175.46675068985036,121.92764500369577,0.1501206196521106,161.02216453232649,226.89179809026055,0.47789824175775597,,935,Alberta x post,Alberta x post x (ln WTI - mean),-34.39708384455621,77.52312619584676,0.6572588168912433
ln_E,period,-0.01558024769750313,0.1436111684203566,0.9136077193204191,0.17040339249771308,0.2176128618413146,0.4335933228721732,0.1687267803486609,935,2019-2021 (WTI $40-68),2022-2023 (WTI $78-95),,,
ln_E,sector,0.4789110006803623,0.2784434391794876,0.08544008947682158,-0.3008831857311388,0.16947647184384707,0.07583706541420737,0.01212151766037129,935,"Oil, gas, refining, pipelines (26 firms)",Other sectors (41 firms),,,
ln_E,interaction,0.06434999873756675,0.16696700924495927,0.69993703025084,0.1499105417796447,0.26537706103711645,0.572144244364853,,935,Alberta x post,Alberta x post x (ln WTI - mean),0.11135664631788321,0.13684143360690487,0.4157801038613581
ln_I,period,-0.40436462493135117,0.1813353545046018,0.025752281577183615,-0.24765261458740442,0.2555708852066604,0.3325365469776822,0.346333791231485,934,2019-2021 (WTI $40-68),2022-2023 (WTI $78-95),,,
ln_I,sector,-0.2611506107729144,0.34091676961183676,0.44366170214299483,-0.6105249200322186,0.24399917276883495,0.012343819694424132,0.40509776778724094,934,"Oil, gas, refining, pipelines (26 firms)",Other sectors (41 firms),,,
ln_I,interaction,-0.33958723166515986,0.2006537353267047,0.09056892521844877,0.07901168630077743,0.33123883040053437,0.8114670343888646,,934,Alberta x post,Alberta x post x (ln WTI - mean),0.08389750693721756,0.182678367086156,0.6460449526800801
ln_Y,period,0.3890539268165611,0.1489685846429461,0.009010623257321364,0.41833313818173873,0.1915374158218609,0.028956332053987524,0.7462129437210734,934,2019-2021 (WTI $40-68),2022-2023 (WTI $78-95),,,
ln_Y,sector,0.7400297204007145,0.18403488614898006,5.7917598777689894e-05,0.3098576927190642,0.22227094683053494,0.16330131188590158,0.13024147843684292,934,"Oil, gas, refining, pipelines (26 firms)",Other sectors (41 firms),,,
ln_Y,interaction,0.40409721753522343,0.16441299768732814,0.013978401218149788,0.07132645251703146,0.2086991205115854,0.7325263173478052,,934,Alberta x post,Alberta x post x (ln WTI - mean),0.027036854020740204,0.14131826007520926,0.8482757547812424
