outcome,k,coef,se,p,ci_lo,ci_hi
green_patent_stock,-7,-54.63628158574204,28.410096118670126,0.05446384297004207,-110.31904677565666,1.046483604172586
green_patent_stock,-6,-31.47954388437658,10.820421862983867,0.0036227221497876446,-52.687181033354754,-10.271906735398403
green_patent_stock,-5,-22.261485682473563,8.867386166287066,0.012056368345509341,-39.64124320540492,-4.8817281595422095
green_patent_stock,-4,-17.69969101420208,7.689205043676479,0.021341473014330134,-32.77025596955171,-2.6291260588524494
green_patent_stock,-3,-14.81196406792146,6.286328667669379,0.01846205332602263,-27.132941851535104,-2.490986284307816
green_patent_stock,-2,-7.826211513722198,3.404895674271546,0.02153236604465722,-14.499684406410651,-1.1527386210337447
green_patent_stock,0,6.527370834499643,4.8994416636974725,0.18277203872010173,-3.075358370702406,16.13010003970169
green_patent_stock,1,7.588928628759167,6.4374441321673554,0.23844877815998888,-5.028230022777553,20.206087280295886
green_patent_stock,2,5.77663728136341,8.545478748758349,0.4990485468078746,-10.972193296855359,22.52546785958218
green_patent_stock,3,-2.6324381573156868,11.251680562724975,0.815016379127005,-24.685326825806005,19.420450511174632
green_patent_stock,4,-7.849018580077823,12.036810669922287,0.5143466136732107,-31.440733981852944,15.7426968216973
intensity_co2e_per_m_gdp,-7,299.76951654344646,213.0559993882389,0.15942777095291993,-117.81256894768956,717.3516020345825
intensity_co2e_per_m_gdp,-6,36.01710921609269,123.37081876690489,0.7703310591934498,-205.78525231025907,277.8194707424445
intensity_co2e_per_m_gdp,-5,188.04055867265185,101.61068729013918,0.06422737366692041,-11.11272886038276,387.19384620568644
intensity_co2e_per_m_gdp,-4,127.18613642155744,66.21955971910086,0.05477291510612437,-2.6018156999795536,256.9740885430944
intensity_co2e_per_m_gdp,-3,142.5773048607676,79.90013424615029,0.07435156768187086,-14.024080621602337,299.17869034313753
intensity_co2e_per_m_gdp,-2,93.10131487328967,55.76122166906449,0.09499008333609049,-16.188671332031177,202.39130107861052
intensity_co2e_per_m_gdp,0,-77.00068308319571,68.32822745551654,0.2597748398881181,-210.92154802346903,56.920181857077594
intensity_co2e_per_m_gdp,1,-2.6331649312836007,84.62480924750047,0.9751772241396696,-168.49474325495663,163.22841339238943
intensity_co2e_per_m_gdp,2,-129.2442487336222,94.42128529059688,0.17106049808725954,-314.30656727717366,55.818069809929284
intensity_co2e_per_m_gdp,3,115.3383545836899,128.16170832924203,0.368150077313803,-135.85397793875154,366.5306871061313
intensity_co2e_per_m_gdp,4,61.255445656008234,124.04538981017112,0.6214370010031723,-181.86905082015898,304.3799421321754
ln_E,-7,0.14910798368615102,0.1778395560369439,0.401783043989728,-0.1994511411728518,0.49766710854515384
ln_E,-6,-0.14301373574242146,0.19470189327490542,0.46262780417711336,-0.5246224342829975,0.23859496279815454
ln_E,-5,-0.11316686193535977,0.15644070183772288,0.4694433651963642,-0.4197850032534657,0.19345127938274612
ln_E,-4,0.0013685627093305355,0.16671478690099079,0.9934502343036535,-0.32538641530688134,0.32812354072554245
ln_E,-3,-0.1385028527711303,0.13640078241794173,0.3099099590621951,-0.40584347377338037,0.12883776823111973
ln_E,-2,-0.04279192324251073,0.057666491794037586,0.4580517574665077,-0.15581617027359895,0.07023232378857751
ln_E,0,0.03700794401736292,0.06408042702712292,0.56358595770826,-0.0885873850697451,0.16260327310447092
ln_E,1,-0.018417486198049563,0.09413450132828015,0.8448835316561187,-0.20291771850411652,0.1660827461080174
ln_E,2,-0.04516227869535383,0.10749912395120609,0.6743995138356217,-0.25585669000932487,0.1655321326186172
ln_E,3,0.04180033493290236,0.15834899304171135,0.7917984066448664,-0.2685579884170355,0.3521586582828402
ln_E,4,0.16948727235629168,0.1654690990436853,0.3057013763659884,-0.15482620232362265,0.493800747036206
ln_I,-7,0.43574269037441204,0.29520106842290683,0.13992032837686527,-0.14284077193222955,1.0143261526810536
ln_I,-6,0.2517152277016788,0.22358424834114726,0.26024245676381585,-0.18650184655742913,0.6899323019607868
ln_I,-5,0.03431978213195538,0.2000682059705037,0.8637988585261416,-0.35780669602177334,0.42644626028568405
ln_I,-4,0.1524976324315571,0.18010311938631365,0.3971489819858076,-0.20049799506893526,0.5054932599320494
ln_I,-3,0.29895336255295524,0.24470032518469884,0.22181649663401592,-0.180650461814294,0.7785571869202045
ln_I,-2,0.1558941795822228,0.14250852500071745,0.2739862069356509,-0.1234173969091093,0.4352057560735549
ln_I,0,0.0861288803228853,0.1403594565848817,0.5394593508014407,-0.18897059947309613,0.3612283601188667
ln_I,1,0.11301111952055741,0.1556441504346213,0.4677857323297807,-0.1920458097356345,0.41806804877674936
ln_I,2,0.12864660468432512,0.16008989010906477,0.4216339089303005,-0.18512381421841687,0.44241702358706714
ln_I,3,0.21636913011001763,0.22390112667564707,0.33386398888340196,-0.222469014272191,0.6552072744922263
ln_I,4,0.22157180899818563,0.22317348721415384,0.3207961365070774,-0.21584018824576612,0.6589838062421374
ln_Y,-7,-0.2860995753048844,0.2105543382489018,0.17421247155420305,-0.6987784950613962,0.1265793444516275
ln_Y,-6,-0.39472862696207894,0.16470520135188554,0.016549035274739013,-0.7175448896781924,-0.07191236424596548
ln_Y,-5,-0.14749022915362872,0.1278514212025372,0.2486615367183621,-0.39807441008286226,0.10309395177560485
ln_Y,-4,-0.15113181155358565,0.1432225399932228,0.2913230497872822,-0.4318428317146499,0.12957920860747854
ln_Y,-3,-0.4374656017652972,0.232914700203452,0.06035075025898881,-0.8939700256340071,0.019038822103412734
ln_Y,-2,-0.19868617080577894,0.12520909982305847,0.1125500396747031,-0.444091496995654,0.04671915538409613
ln_Y,0,-0.04913125614498195,0.13062068017992898,0.7068151318946994,-0.30514308493376757,0.2068805726438037
ln_Y,1,-0.13145258345969443,0.15990945688352678,0.4110519482533005,-0.4448693597387675,0.18196419281937867
ln_Y,2,-0.17384251289562144,0.19459341638041516,0.37166293492466496,-0.5552386006298418,0.2075535748385989
ln_Y,3,-0.1746159554837679,0.21775269185105395,0.42261061514793996,-0.6014033890484822,0.25217147808094637
ln_Y,4,-0.05213169694852404,0.18627310495344498,0.7795795382996615,-0.41722027394572575,0.31295688004867767
