outcome,test,F,p
green_patent_stock,leads k=-6..-2 (2013-2017),1.9840251200088903,0.09271665705194816
green_patent_stock,leads 2016-2017 only,2.8491156236541757,0.06514877608447704
green_patent_stock,post-period lags k=0..4,0.9201590127867739,0.47370397742475545
intensity_co2e_per_m_gdp,leads k=-6..-2 (2013-2017),1.0641811684094145,0.38839822794533363
intensity_co2e_per_m_gdp,leads 2016-2017 only,1.5927744608378278,0.21119469510013905
intensity_co2e_per_m_gdp,post-period lags k=0..4,4.151751534040654,0.0024664173232494735
ln_E,leads k=-6..-2 (2013-2017),0.7298494723909192,0.6036153024845012
ln_E,leads 2016-2017 only,0.6612420922528591,0.5196471903662943
ln_E,post-period lags k=0..4,0.9862301764799405,0.4330646778064553
ln_I,leads k=-6..-2 (2013-2017),0.667771742300449,0.6492370800510784
ln_I,leads 2016-2017 only,0.8871437771685838,0.4167571336642407
ln_I,post-period lags k=0..4,0.20961863963441582,0.957284537588696
ln_Y,leads k=-6..-2 (2013-2017),1.2374164456876398,0.3019395766033237
ln_Y,leads 2016-2017 only,2.0263090772196075,0.14006487147098917
ln_Y,post-period lags k=0..4,1.111979907198797,0.36278958696739055
