outcome,sample,treatment,coef,se,p,ci_lo,ci_hi,N,firms,treated_firms
green_patent_stock,All 66 firms,Time-varying principal province (baseline),19.906415181774996,15.545394880344837,0.2003572029957681,-10.561998909154227,50.37482927270422,935,66,45
green_patent_stock,All 66 firms,Fixed: principal province in 2018,32.383546685962514,16.09926668187267,0.04427351088476127,0.8295638119864215,63.93752955993861,935,66,37
green_patent_stock,All 66 firms,Fixed: modal province 2014-2018,27.666698745814003,16.25301560933942,0.08870847968388075,-4.188626488658585,59.52202398028659,935,66,36
green_patent_stock,Non-switchers (no change of principal province 2004-2023),Time-varying principal province (baseline),27.889424690776544,20.902847274011048,0.18212506152703822,-13.079403140626354,68.85825252217944,510,35,25
green_patent_stock,Non-switchers (no change of principal province 2004-2023),Fixed: principal province in 2018,27.889424690776544,20.902847274011048,0.18212506152703822,-13.079403140626354,68.85825252217944,510,35,25
green_patent_stock,Non-switchers (no change of principal province 2004-2023),Fixed: modal province 2014-2018,27.889424690776544,20.902847274011048,0.18212506152703822,-13.079403140626354,68.85825252217944,510,35,25
green_patent_stock,No switch from 2017 onward,Time-varying principal province (baseline),32.14278745180755,19.35459660505531,0.09676739230471161,-5.791524829402057,70.07709973301715,627,43,28
green_patent_stock,No switch from 2017 onward,Fixed: principal province in 2018,32.14278745180755,19.35459660505531,0.09676739230471161,-5.791524829402057,70.07709973301715,627,43,27
green_patent_stock,No switch from 2017 onward,Fixed: modal province 2014-2018,32.14278745180755,19.35459660505531,0.09676739230471161,-5.791524829402057,70.07709973301715,627,43,27
intensity_co2e_per_m_gdp,All 66 firms,Time-varying principal province (baseline),-181.35695508221787,120.71935879571544,0.13301908763430131,-417.9625505585887,55.24864039415297,935,66,45
intensity_co2e_per_m_gdp,All 66 firms,Fixed: principal province in 2018,-184.83237457182884,124.79400084764374,0.13857997076213133,-429.42412171987155,59.75937257621388,935,66,37
intensity_co2e_per_m_gdp,All 66 firms,Fixed: modal province 2014-2018,-178.83631932993922,124.53604640913844,0.15099649958623051,-422.92248506885926,65.24984640898086,935,66,36
intensity_co2e_per_m_gdp,Non-switchers (no change of principal province 2004-2023),Time-varying principal province (baseline),-364.7809786380145,272.03872230406034,0.1799478422468649,-897.9670767542659,168.40511947823688,510,35,25
