company_id,year,prev,province,into_alberta,out_of_alberta
ADM AGRI-INDUSTRIES COMPANY,2018,Ontario,Alberta,1,0
CARGILL LIMITED,2017,Saskatchewan,Ontario,0,0
CARGILL LIMITED,2018,Ontario,Alberta,1,0
CASCADES CANADA ULC,2016,Quebec,Ontario,0,0
CASCADES CANADA ULC,2017,Ontario,Quebec,0,0
CAVENDISH FARMS CORPORATION,2019,Prince Edward Island,Alberta,1,0
CENOVUS ENERGY INC,2012,Alberta,Saskatchewan,0,1
CENOVUS ENERGY INC,2013,Saskatchewan,Alberta,1,0
CENOVUS ENERGY INC,2015,Alberta,Saskatchewan,0,1
CENOVUS ENERGY INC,2017,Saskatchewan,Alberta,1,0
CERTAINTEED GYPSUM CANADA INC,2018,British Columbia,Alberta,1,0
DOMTAR INC,2013,Ontario,British Columbia,0,0
DOMTAR INC,2016,British Columbia,Ontario,0,0
ENCANA CORPORATION,2014,Alberta,British Columbia,0,1
ENCANA CORPORATION,2016,British Columbia,Alberta,1,0
ENCANA CORPORATION,2018,Alberta,British Columbia,0,1
FIBREK SENC,2012,NA,Quebec,0,0
GERDAU AMERISTEEL CORPORATION,2011,Ontario,Manitoba,0,0
GERDAU AMERISTEEL CORPORATION,2012,Manitoba,Ontario,0,0
GLENCORE CANADA CORPORATION,2022,Quebec,Ontario,0,0
HUSKY OIL OPERATIONS LIMITED,2006,Saskatchewan,Newfoundland and Labrador,0,0
HUSKY OIL OPERATIONS LIMITED,2008,Newfoundland and Labrador,Alberta,1,0
HUSKY OIL OPERATIONS LIMITED,2013,Alberta,Saskatchewan,0,1
K+S WINDSOR SALT LTD,2017,Ontario,Alberta,1,0
K+S WINDSOR SALT LTD,2019,Alberta,Ontario,0,1
KRUGER INC,2022,Quebec,British Columbia,0,0
LAFARGE CANADA INC,2019,British Columbia,Alberta,1,0
MCCAIN FOODS CANADA LTD,2017,New Brunswick,Manitoba,0,0
METHANEX CORPORATION,2011,British Columbia,Alberta,1,0
NOVA CHEMICALS CORPORATION,2023,Alberta,Ontario,0,1
OWENS CORNING COMPOSITE MATERIALS CANADA LP,2017,Quebec,Ontario,0,0
PLAINS MIDSTREAM CANADA ULC,2018,Ontario,Alberta,1,0
PRAXAIR CANADA INC,2017,Quebec,Ontario,0,0
PRAXAIR CANADA INC,2018,Ontario,Alberta,1,0
PRODUITS FORESTIERS RÉSOLU,2014,Quebec,Ontario,0,0
PRODUITS FORESTIERS RÉSOLU,2017,Ontario,Quebec,0,0
RIO TINTO ALCAN INC,2015,Quebec,British Columbia,0,0
RIO TINTO ALCAN INC,2016,British Columbia,Quebec,0,0
SPECTRA ENERGY TRANSMISSION,2019,British Columbia,Alberta,1,0
SUNCOR ENERGY INC,2011,Alberta,Newfoundland and Labrador,0,1
SUNCOR ENERGY INC,2017,Newfoundland and Labrador,British Columbia,0,0
SUNCOR ENERGY INC,2018,British Columbia,Alberta,1,0
SUNCOR ENERGY INC,2020,Alberta,British Columbia,0,1
SUNCOR ENERGY PRODUCTS PARTNERSHIP,2011,Ontario,Alberta,1,0
SUNCOR ENERGY PRODUCTS PARTNERSHIP,2017,Alberta,Quebec,0,1
TOLKO INDUSTRIES LTD,2009,Manitoba,Alberta,1,0
TOLKO INDUSTRIES LTD,2010,Alberta,Manitoba,0,1
TOLKO INDUSTRIES LTD,2013,Manitoba,Alberta,1,0
TOLKO INDUSTRIES LTD,2017,Alberta,British Columbia,0,1
TOURMALINE OIL CORP,2014,British Columbia,Alberta,1,0
VALE CANADA LIMITED,2010,Manitoba,Ontario,0,0
WASTE MANAGEMENT OF CANADA CORPORATION,2006,Alberta,Quebec,0,1
WASTE MANAGEMENT OF CANADA CORPORATION,2012,Quebec,Alberta,1,0
WASTE MANAGEMENT OF CANADA CORPORATION,2013,Alberta,Quebec,0,1
WASTE MANAGEMENT OF CANADA CORPORATION,2022,Quebec,Ontario,0,0
WEST FRASER MILLS LTD,2005,British Columbia,Alberta,1,0
WEST FRASER MILLS LTD,2020,Alberta,British Columbia,0,1
