label,outcome,coef,se_firm,p_firm,G_firm,se_prov,p_prov_t,G_prov,p_wild_prov,se_cell,p_cell_t,G_cell,p_wild_cell,N,placebo_n,placebo_p,placebo_min,placebo_max,placebo_json
Main effect [time-varying],green_patent_stock,19.90641518177577,14.821158965813769,0.18390804887080225,66,2.4180276623292083,1.7593882917887882e-05,10,0.027333333333333334,25.527378747216527,0.4394141929439943,48,0.771,935,5,0.16666666666666666,-19.859676473568985,4.4464002916186,"{""Ontario"": 4.4464, ""British Columbia"": -0.5465, ""Quebec"": -1.1155, ""Saskatchewan"": -19.8597, ""Manitoba"": -8.2649}"
Main effect [time-varying],intensity_co2e_per_m_gdp,-181.3569550822143,115.09523049971692,0.11994718146588079,66,44.994420376747115,0.0029700481508283527,10,0.069,127.23589389710605,0.16066080839481867,48,0.256,935,5,0.16666666666666666,-151.9801780969083,151.5914751812885,"{""Ontario"": 151.5915, ""British Columbia"": -151.9802, ""Quebec"": -73.3151, ""Saskatchewan"": 75.9409, ""Manitoba"": -132.5754}"
Main effect [time-varying],ln_E,0.05346731670009269,0.1550913272789821,0.7313973618480718,66,0.0509487857902802,0.3213411806556832,10,0.38766666666666666,0.2381316458839159,0.8233194518116393,48,0.93,935,5,1.0,-0.2682463045627584,0.6259187851367914,"{""Ontario"": -0.086, ""British Columbia"": -0.2682, ""Quebec"": 0.1588, ""Saskatchewan"": 0.6259, ""Manitoba"": 0.3897}"
Main effect [time-varying],ln_I,-0.3461861748440509,0.18736564605929193,0.06920404805834468,66,0.10615646575794263,0.011508448060464138,9,0.07633333333333334,0.2544329693683264,0.18026415833562015,47,0.301,934,5,0.3333333333333333,-0.2262760650504547,0.6727748683896191,"{""Ontario"": -0.2263, ""British Columbia"": -0.1836, ""Quebec"": 0.3156, ""Saskatchewan"": 0.6728, ""Manitoba"": -0.0083}"
Main effect [time-varying],ln_Y,0.39992366892041276,0.15266901860444415,0.010947128223945723,66,0.10539131517399626,0.005276696808985015,9,0.05433333333333333,0.14252923409737395,0.00733101061210939,47,0.023,934,5,0.16666666666666666,-0.1551992873715519,0.3980579311632014,"{""Ontario"": 0.1398, ""British Columbia"": -0.0853, ""Quebec"": -0.1552, ""Saskatchewan"": -0.0469, ""Manitoba"": 0.3981}"
Oil-sector minus other sectors [time-varying],ln_E,0.7797941864097647,0.2877294349951143,0.008590749222894045,66,0.1256416517358114,0.00015763251151557078,10,0.055,0.3160651147653246,0.01731691473700181,48,0.113,935,3,0.25,-0.3704519812828345,0.4322808802552048,"{""Ontario"": -0.3659, ""British Columbia"": -0.3705, ""Quebec"": 0.4323}"
Oil-sector minus other sectors [time-varying],green_patent_stock,-86.24036005907304,27.559925982627636,0.0026243001514287823,66,12.24299407986429,6.025154666211563e-05,10,0.015666666666666666,37.89950259485724,0.027478019914697338,48,0.11,935,3,0.25,9.498191459666325,23.3922148284658,"{""Ontario"": 9.4982, ""British Columbia"": 16.0529, ""Quebec"": 23.3922}"
Oil-sector minus other sectors [time-varying],intensity_co2e_per_m_gdp,432.74910482010426,187.915227942624,0.02449465537254003,66,111.2207585803781,0.0036699074030186463,10,0.04933333333333333,161.25501587639,0.010023916436785463,48,0.049,935,3,0.5,-449.21698930049166,221.9948752045806,"{""Ontario"": -449.217, ""British Columbia"": 182.7042, ""Quebec"": 221.9949}"
Prior innovators minus others [time-varying],green_patent_stock,62.17151375642622,28.49782839590913,0.03275949981682347,66,9.112686604738272,7.707493351705175e-05,10,0.06633333333333333,33.2416536278796,0.0676784758605844,48,0.344,935,3,0.5,-14.641830999326325,102.66517751181242,"{""Ontario"": -8.4458, ""British Columbia"": 102.6652, ""Quebec"": -14.6418}"
Prior innovators minus others [time-varying],ln_E,-0.5664780968715282,0.30426035274799723,0.06715027596329648,66,0.160221008479019,0.006357789056132157,10,0.12833333333333333,0.30998564849155513,0.07398736730290856,48,0.212,935,3,0.5,-1.5240540216775502,0.3967582882937372,"{""Ontario"": 0.0138, ""British Columbia"": -1.5241, ""Quebec"": 0.3968}"
Late window (2022-23) minus early (2019-21) [time-varying],intensity_co2e_per_m_gdp,153.7975238846841,128.28582432418398,0.23493250526317766,66,87.30817596008349,0.11198882448862046,10,0.221,162.4886835038438,0.3487284933233048,48,0.357,935,4,0.8,-330.38127792970175,292.9379214653822,"{""Ontario"": 292.9379, ""British Columbia"": -223.3923, ""Quebec"": -115.0956, ""Manitoba"": -330.3813}"
Late window (2022-23) minus early (2019-21) [time-varying],ln_E,0.18598364019349706,0.1273273507007602,0.14892228608986735,66,0.044743821066282226,0.0024599954004149716,10,0.126,0.12028812232726935,0.1287755912520665,48,0.327,935,4,0.4,-0.06926840608679759,0.263958627164219,"{""Ontario"": -0.0693, ""British Columbia"": 0.264, ""Quebec"": 0.0083, ""Manitoba"": 0.1238}"
Main effect [fixed-2018],green_patent_stock,32.383546685963296,15.349226736385809,0.03873184343432867,66,6.4568012449411265,0.002415025372524804,7,0.024,25.967301499675592,0.2185435725849949,48,0.452,935,3,0.25,-21.506244211583432,16.131540532289378,"{""Ontario"": 5.7336, ""British Columbia"": -21.5062, ""Quebec"": 16.1315}"
Main effect [fixed-2018],intensity_co2e_per_m_gdp,-184.83237457182315,118.98004127778081,0.12516582358417838,66,45.30954241676379,0.00650703014641052,7,0.09366666666666666,131.14937637881482,0.16532100253679127,48,0.271,935,3,0.25,-131.80138839505574,150.37952394222248,"{""Ontario"": 150.3795, ""British Columbia"": -131.8014, ""Quebec"": -38.7432}"
Main effect [fixed-2018],ln_E,0.01852148777792935,0.15551425887317727,0.9055647814828505,66,0.08821652239926425,0.8406507783521242,7,0.851,0.22983900714455602,0.9361144733160482,48,0.972,935,3,1.0,-0.450315551043119,0.2183864289032542,"{""Ontario"": -0.042, ""British Columbia"": -0.4503, ""Quebec"": 0.2184}"
Main effect [fixed-2018],ln_I,-0.10919569637890975,0.21147716087057106,0.6073639963092146,66,0.23728994697050548,0.6615932126581718,7,0.673,0.25910370594198034,0.6753994154555425,47,0.747,934,3,1.0,-0.762619738778885,0.6858139307451422,"{""Ontario"": 0.1449, ""British Columbia"": -0.7626, ""Quebec"": 0.6858}"
Main effect [fixed-2018],ln_Y,0.1279405163539415,0.16149927615924792,0.4311230223812008,66,0.17962567775341898,0.5030453861741726,7,0.5,0.14276266908221277,0.37482469230558246,47,0.42,934,3,1.0,-0.46685319061180064,0.3122340560729404,"{""Ontario"": -0.1866, ""British Columbia"": 0.3122, ""Quebec"": -0.4669}"
Oil-sector minus other sectors [fixed-2018],ln_E,0.9479443211373597,0.331611310442458,0.005712248740640469,66,0.20363408529866966,0.0034849821141280657,7,0.07833333333333334,0.26318138840681127,0.0007594924093285993,48,0.023,935,3,0.25,-0.6104571602412321,0.025304552043465187,"{""Ontario"": -0.0545, ""British Columbia"": -0.6105, ""Quebec"": 0.0253}"
Oil-sector minus other sectors [fixed-2018],green_patent_stock,-82.37830329415084,28.933357432656706,0.005897360354091052,66,13.9133676461869,0.0010340631963761115,7,0.017333333333333333,33.15398065952183,0.016583415819884095,48,0.125,935,3,0.25,-28.95346010126944,39.75659190666156,"{""Ontario"": 20.2247, ""British Columbia"": -28.9535, ""Quebec"": 39.7566}"
Oil-sector minus other sectors [fixed-2018],intensity_co2e_per_m_gdp,367.7497270619124,192.8716189146564,0.06098035378799782,66,139.66323455551841,0.03889695832479134,7,0.075,162.20997627667361,0.028024196411542412,48,0.111,935,3,0.5,-463.1317767350327,246.45186156094405,"{""Ontario"": -463.1318, ""British Columbia"": 246.4519, ""Quebec"": 82.6692}"
Prior innovators minus others [fixed-2018],green_patent_stock,74.65813674234678,26.335148813984183,0.006101947522243911,66,6.082025582896472,1.7807138972036896e-05,7,0.019,31.115521739060725,0.02043982550334489,48,0.165,935,3,0.25,-33.65247269374728,15.259371739506959,"{""Ontario"": -2.6666, ""British Columbia"": -33.6525, ""Quebec"": 15.2594}"
Prior innovators minus others [fixed-2018],ln_E,-0.7401876650784844,0.2932294716449296,0.014045757785748902,66,0.0936401635676268,0.00021745757140934074,7,0.06433333333333334,0.34874904653969024,0.03910151406539675,48,0.192,935,3,0.5,-1.5003592070135063,0.1168153453783814,"{""Ontario"": -0.126, ""British Columbia"": -1.5004, ""Quebec"": 0.1168}"
