treatment,outcome,method,Mbar,lb,ub
time-varying,green_patent_stock,original,,-15.824686886256599,34.939829156344
time-varying,green_patent_stock,relative_magnitudes_C-LF,0.5,-24.01822935113998,52.58044803898213
time-varying,green_patent_stock,relative_magnitudes_C-LF,1.0,-39.597621362690234,77.24781872393669
time-varying,green_patent_stock,relative_magnitudes_C-LF,1.5,-62.96670938001563,101.91518940889125
time-varying,green_patent_stock,relative_magnitudes_C-LF,2.0,-88.93236273259939,127.88084276147504
time-varying,intensity_co2e_per_m_gdp,original,,-247.5603167377039,138.32251578028138
time-varying,intensity_co2e_per_m_gdp,relative_magnitudes_C-LF,0.5,-389.8177068121156,300.9984824751775
time-varying,intensity_co2e_per_m_gdp,relative_magnitudes_C-LF,1.0,-577.324958190095,488.50573385315715
time-varying,intensity_co2e_per_m_gdp,relative_magnitudes_C-LF,1.5,-784.5698149762829,695.7505906393451
time-varying,intensity_co2e_per_m_gdp,relative_magnitudes_C-LF,2.0,-991.8146717624709,912.8642501296374
time-varying,ln_E,original,,-0.16485315594633526,0.5965473705270863
time-varying,ln_E,relative_magnitudes_C-LF,0.5,-0.4770767654410162,0.9833623124396453
time-varying,ln_E,relative_magnitudes_C-LF,1.0,-0.9638897914012365,1.489647859438274
time-varying,ln_E,relative_magnitudes_C-LF,1.5,-1.4896478594382745,2.0543509695521305
time-varying,ln_E,relative_magnitudes_C-LF,2.0,-2.015405927475313,2.619054079665986
time-varying,ln_I,original,,-1.1674411875991084,-0.1001601052554999
time-varying,ln_I,relative_magnitudes_C-LF,0.5,-2.361043170480643,0.47766769344984095
time-varying,ln_I,relative_magnitudes_C-LF,1.0,-3.6985127121401975,1.7332513448037092
time-varying,ln_I,relative_magnitudes_C-LF,1.5,-5.00868695703119,3.0707208864632642
time-varying,ln_I,relative_magnitudes_C-LF,2.0,-5.445411705328188,4.380895131354257
time-varying,ln_Y,original,,0.3461270093492864,1.3527530550609628
time-varying,ln_Y,relative_magnitudes_C-LF,0.5,-0.296056780854582,2.6902550955916373
time-varying,ln_Y,relative_magnitudes_C-LF,1.0,-1.711980515376497,4.131922898013951
time-varying,ln_Y,relative_magnitudes_C-LF,1.5,-3.15364831779881,5.135941546129491
time-varying,ln_Y,relative_magnitudes_C-LF,2.0,-4.595316120221123,5.135941546129491
fixed-2018,green_patent_stock,original,,-12.885666715336813,16.650258718228297
fixed-2018,green_patent_stock,relative_magnitudes_C-LF,0.5,-26.815626314383266,31.347844846391723
fixed-2018,green_patent_stock,relative_magnitudes_C-LF,1.0,-45.699870197751764,50.23208872976022
fixed-2018,green_patent_stock,relative_magnitudes_C-LF,1.5,-66.85022334712448,71.38244187913293
fixed-2018,green_patent_stock,relative_magnitudes_C-LF,2.0,-88.75594625183194,93.28816478384039
fixed-2018,intensity_co2e_per_m_gdp,original,,-150.09186695036064,137.17814834699928
fixed-2018,intensity_co2e_per_m_gdp,relative_magnitudes_C-LF,0.5,-584.0720647752033,459.1761515528326
fixed-2018,intensity_co2e_per_m_gdp,relative_magnitudes_C-LF,1.0,-1076.30889923984,951.4129860174694
fixed-2018,intensity_co2e_per_m_gdp,relative_magnitudes_C-LF,1.5,-1465.6902757566422,1443.649820482106
fixed-2018,intensity_co2e_per_m_gdp,relative_magnitudes_C-LF,2.0,-1465.6902757566422,1465.6902757566422
fixed-2018,ln_E,original,,-0.15246641778231368,0.22635273234757508
fixed-2018,ln_E,relative_magnitudes_C-LF,0.5,-0.5764450312858791,0.6248857902174652
fixed-2018,ln_E,relative_magnitudes_C-LF,1.0,-1.1286696831059646,1.1771104420375509
fixed-2018,ln_E,relative_magnitudes_C-LF,1.5,-1.6808943349260503,1.739023245643954
fixed-2018,ln_E,relative_magnitudes_C-LF,2.0,-1.9327862813703,1.9327862813703
fixed-2018,ln_I,original,,-0.15208567839082116,0.4583766958452096
fixed-2018,ln_I,relative_magnitudes_C-LF,0.5,-0.6010749651044507,0.9913833840034441
fixed-2018,ln_I,relative_magnitudes_C-LF,1.0,-1.3036301191226396,1.6939385380216336
fixed-2018,ln_I,relative_magnitudes_C-LF,1.5,-2.0217976098967885,2.3964936920398223
fixed-2018,ln_I,relative_magnitudes_C-LF,2.0,-2.739965100670937,3.114661182813971
fixed-2018,ln_Y,original,,-0.4409640351354319,0.208494433162396
fixed-2018,ln_Y,relative_magnitudes_C-LF,0.5,-1.1377607940544836,0.8221775081123646
fixed-2018,ln_Y,relative_magnitudes_C-LF,1.0,-2.034681711995245,1.7024887794245922
fixed-2018,ln_Y,relative_magnitudes_C-LF,1.5,-2.931602629936006,2.5994096973653535
fixed-2018,ln_Y,relative_magnitudes_C-LF,2.0,-3.3136245023922557,3.3136245023922557
