"Multifactor productivity and related variables in the aggregate business sector and major sub-sectors, by industry 1"
"Frequency: Annual"
"Table: 36-10-0211-01 (formerly CANSIM 383-0026)"
"Release date: 2025-04-14"
"Geography: Province or territory"
""
""

"North American Industry Classification System (NAICS)","Agriculture, forestry, fishing and hunting 2",,,,,,,,,,,,,,,,,,,,,
"Labour productivity measures and related measures","Multifactor productivity 3",,,,,,,,,,,,,,,,,,,,,
"Geography","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
,"Index, 2017=100",,,,,,,,,,,,,,,,,,,,,
"Newfoundland and Labrador","77.752","79.683","87.122","77.269","79.328","87.422","105.968","114.304","113.467","112.418","110.698","116.630","109.045","108.423","107.866","100.000","95.412","82.751","80.639","97.450","91.570","99.069"
"Prince Edward Island","80.926","75.788","85.776","89.171","79.524","85.285","83.502","84.942","96.571","88.222","92.944","91.626","93.185","95.395","96.642","100.000","97.505","103.381","90.404","117.889","122.111","109.945"
"Nova Scotia","83.237","82.967","75.839","74.763","79.347","71.372","80.754","83.755","87.202","90.426","91.132","91.625","104.408","105.593","101.878","100.000","94.282","99.833","95.871","92.524","91.824","89.569"
"New Brunswick","71.125","64.118","68.249","68.480","72.120","64.657","71.317","74.073","81.217","75.354","79.905","80.725","90.432","95.557","100.191","100.000","86.537","88.687","77.299","83.175","80.060","79.518"
"Quebec","67.068","68.526","73.819","69.961","68.674","61.484","60.568","62.288","67.321","65.711","64.597","70.610","88.647","95.923","100.487","100.000","96.148","94.827","88.715","83.808","82.510","74.532"
"Ontario","84.094","75.738","78.085","87.239","82.627","72.119","77.374","75.265","80.708","81.192","79.229","86.239","89.938","96.184","97.882","100.000","100.840","100.254","110.986","117.789","122.332","121.032"
"Manitoba","55.268","60.549","58.921","71.632","78.676","64.575","80.590","74.001","63.909","53.802","64.611","86.397","71.503","79.424","82.977","100.000","95.233","91.556","95.693","82.507","104.574","107.165"
"Saskatchewan","105.092","109.814","115.484","133.946","111.142","83.632","106.954","99.864","73.738","84.383","79.528","109.553","88.948","93.990","101.560","100.000","99.924","107.813","111.441","47.855","85.759","83.625"
"Alberta","58.932","81.053","98.755","105.405","97.930","77.954","92.596","83.091","92.664","93.479","88.919","103.364","90.815","88.222","98.449","100.000","95.242","98.811","111.215","72.860","101.228","86.519"
"British Columbia","56.113","58.512","61.084","61.298","65.561","64.284","63.522","60.123","65.426","72.354","70.516","71.803","101.366","104.681","100.651","100.000","100.089","86.910","91.346","88.461","84.702","78.084"




Footnotes:
1,"The business sector covers the whole economy less public administration, non-profit institutions and the rental value of owner-occupied dwellings."
2,"This combines the business establishments of the North American Industry Classification System (NAICS) code 11."
3,"Multifactor productivity measures the efficiency with which all inputs are used in production. It is the ratio of real gross domestic product (GDP) to combined labour and capital inputs."



"How to cite: Statistics Canada. Table 36-10-0211-01  Multifactor productivity and related variables in the aggregate business sector and major sub-sectors, by industry"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610021101
