"Multifactor productivity and related variables in the aggregate business sector and major sub-sectors, by industry 1"
"Frequency: Annual"
"Table: 36-10-0211-01 (formerly CANSIM 383-0026)"
"Release date: 2025-04-14"
"Geography: Province or territory"
""
""

"North American Industry Classification System (NAICS)","Professional, scientific and technical services",,,,,,,,,,,,,,,,,,,,,
"Labour productivity measures and related measures","Multifactor productivity 2",,,,,,,,,,,,,,,,,,,,,
"Geography","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
,"Index, 2017=100",,,,,,,,,,,,,,,,,,,,,
"Newfoundland and Labrador","116.243","120.858","117.431","113.489","107.166","103.474","106.237","111.460","101.702","105.618","99.808","97.597","105.323","99.465","98.238","100.000","96.812","94.104","100.143","78.671","81.802","83.913"
"Prince Edward Island","115.747","120.384","122.551","114.178","115.770","113.116","115.567","104.956","101.032","92.743","86.800","93.607","97.150","100.773","98.283","100.000","95.370","99.073","104.245","106.784","102.476","112.121"
"Nova Scotia","96.960","91.937","92.225","89.606","92.120","90.854","94.656","93.796","92.467","92.183","94.408","95.254","94.011","97.262","99.724","100.000","97.035","99.849","103.214","97.522","98.179","96.213"
"New Brunswick","123.111","122.268","114.945","114.297","111.086","108.860","113.252","106.279","111.385","106.279","111.645","108.237","106.103","108.362","99.322","100.000","98.078","99.513","100.785","101.581","100.607","98.480"
"Quebec","101.646","103.245","102.462","101.017","103.304","101.719","99.818","101.326","98.178","98.219","98.923","101.215","102.308","99.008","101.328","100.000","100.443","101.248","105.416","105.927","110.048","108.108"
"Ontario","102.597","102.151","101.390","102.113","102.728","102.935","98.145","100.343","95.856","93.709","95.358","91.751","96.973","96.761","100.117","100.000","102.578","104.310","105.510","101.631","104.394","99.891"
"Manitoba","102.345","101.025","95.059","95.871","99.700","99.159","102.643","100.389","100.306","102.851","104.054","108.366","107.909","108.121","107.095","100.000","105.475","102.694","100.903","95.678","100.390","100.788"
"Saskatchewan","104.501","106.182","110.920","121.901","113.074","114.761","125.816","118.833","118.581","120.845","120.370","120.495","121.608","113.988","103.555","100.000","99.892","96.794","94.413","92.745","93.072","90.172"
"Alberta","98.411","98.487","93.773","97.205","98.237","97.023","97.149","95.647","96.018","98.483","98.561","101.065","103.948","100.849","94.656","100.000","91.865","91.251","96.604","87.714","91.925","93.303"
"British Columbia","88.983","85.851","85.523","87.701","91.878","91.415","93.967","91.651","87.487","89.418","90.343","94.655","100.871","96.320","100.001","100.000","100.834","99.809","102.834","97.162","96.426","102.710"




Footnotes:
1,"The business sector covers the whole economy less public administration, non-profit institutions and the rental value of owner-occupied dwellings."
2,"Multifactor productivity measures the efficiency with which all inputs are used in production. It is the ratio of real gross domestic product (GDP) to combined labour and capital inputs."



"How to cite: Statistics Canada. Table 36-10-0211-01  Multifactor productivity and related variables in the aggregate business sector and major sub-sectors, by industry"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610021101
