"Multifactor productivity and related variables in the aggregate business sector and major sub-sectors, by industry 1"
"Frequency: Annual"
"Table: 36-10-0211-01 (formerly CANSIM 383-0026)"
"Release date: 2025-04-14"
"Geography: Province or territory"
""
""

"North American Industry Classification System (NAICS)","Administrative and support, waste management and remediation services",,,,,,,,,,,,,,,,,,,,,
"Labour productivity measures and related measures","Multifactor productivity 2",,,,,,,,,,,,,,,,,,,,,
"Geography","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
,"Index, 2017=100",,,,,,,,,,,,,,,,,,,,,
"Newfoundland and Labrador","99.480","96.074","101.298","102.282","104.248","108.972","104.284","115.468","113.967","110.272","112.174","115.297","120.575","110.631","102.861","100.000","96.370","96.207","94.853","87.043","88.249","87.959"
"Prince Edward Island","87.353","86.004","87.581","89.161","91.426","91.357","95.723","91.764","99.736","93.100","95.151","106.310","107.981","100.539","104.954","100.000","97.300","98.126","96.001","102.178","100.420","103.602"
"Nova Scotia","122.683","126.298","126.687","130.234","129.187","118.435","114.824","111.010","114.890","118.792","118.770","112.041","111.720","113.558","100.989","100.000","97.783","98.581","91.919","93.882","86.459","82.402"
"New Brunswick","90.419","85.265","84.176","82.435","81.763","92.391","90.489","95.570","98.110","91.613","91.757","86.189","88.819","91.403","102.384","100.000","103.824","101.796","95.426","99.990","118.541","115.317"
"Quebec","113.534","117.166","116.723","114.425","115.317","121.328","113.143","111.882","107.202","107.024","107.731","105.849","105.522","105.041","101.271","100.000","97.630","99.958","90.068","94.433","94.471","92.492"
"Ontario","120.726","114.174","115.988","117.415","112.057","112.312","104.716","104.799","102.279","99.843","100.376","97.468","98.421","100.687","102.112","100.000","104.493","104.065","103.341","104.773","101.501","98.488"
"Manitoba","122.018","119.545","119.900","116.149","114.530","122.403","122.493","127.226","126.024","132.605","136.083","131.653","120.166","109.601","106.573","100.000","98.871","96.554","87.720","91.395","86.363","84.288"
"Saskatchewan","83.134","91.566","94.180","94.855","91.497","97.879","96.861","106.402","104.127","102.172","105.911","100.468","103.971","99.072","101.111","100.000","96.352","91.265","87.027","93.268","101.485","92.474"
"Alberta","99.171","106.395","106.024","105.764","105.225","110.136","108.075","105.598","94.541","95.794","98.092","96.202","96.287","93.852","96.638","100.000","99.391","96.197","92.633","88.814","86.787","87.141"
"British Columbia","114.225","103.976","105.053","110.161","105.736","112.130","110.029","109.711","104.972","108.093","109.580","108.109","104.495","105.151","103.450","100.000","101.376","100.529","95.702","96.130","98.327","102.335"




Footnotes:
1,"The business sector covers the whole economy less public administration, non-profit institutions and the rental value of owner-occupied dwellings."
2,"Multifactor productivity measures the efficiency with which all inputs are used in production. It is the ratio of real gross domestic product (GDP) to combined labour and capital inputs."



"How to cite: Statistics Canada. Table 36-10-0211-01  Multifactor productivity and related variables in the aggregate business sector and major sub-sectors, by industry"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610021101
