"Multifactor productivity and related variables in the aggregate business sector and major sub-sectors, by industry 1"
"Frequency: Annual"
"Table: 36-10-0211-01 (formerly CANSIM 383-0026)"
"Release date: 2025-04-14"
"Geography: Province or territory"
""
""

"North American Industry Classification System (NAICS)","Arts, entertainment and recreation",,,,,,,,,,,,,,,,,,,,,
"Labour productivity measures and related measures","Multifactor productivity 2",,,,,,,,,,,,,,,,,,,,,
"Geography","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
,"Index, 2017=100",,,,,,,,,,,,,,,,,,,,,
"Newfoundland and Labrador","106.641","79.206","89.647","80.080","81.370","102.170","124.072","138.912","146.484","150.519","137.516","139.502","124.041","94.471","90.061","100.000","90.155","87.941","73.305","73.710","76.933","81.232"
"Prince Edward Island","104.359","103.829","108.017","138.420","127.376","154.244","159.893","157.263","141.525","136.675","124.193","140.953","136.154","88.950","83.755","100.000","105.172","115.725","84.810","98.305","87.460","97.298"
"Nova Scotia","108.781","100.416","98.660","108.232","113.498","97.662","106.902","100.086","103.799","106.205","105.663","110.766","119.474","113.175","98.831","100.000","103.609","110.788","88.853","95.508","94.939","100.470"
"New Brunswick","180.485","169.235","160.216","161.925","161.551","152.895","149.146","135.587","115.988","113.979","116.070","119.957","104.405","97.365","93.478","100.000","99.140","111.006","94.896","105.195","111.917","121.622"
"Quebec","125.478","113.222","119.102","123.893","119.128","121.959","117.424","116.942","105.447","107.782","106.640","103.024","107.242","102.251","99.822","100.000","100.348","102.125","75.025","90.618","100.478","108.039"
"Ontario","103.823","99.199","95.299","96.839","96.837","98.719","93.434","98.557","92.679","93.755","95.982","92.077","98.195","97.629","96.021","100.000","91.550","97.455","79.388","91.943","109.647","115.422"
"Manitoba","151.231","134.979","123.516","116.764","112.444","116.321","116.992","116.181","110.910","113.012","104.823","94.432","101.249","88.789","96.409","100.000","97.409","93.647","77.034","85.854","97.254","101.535"
"Saskatchewan","265.664","185.639","169.247","159.451","113.437","134.167","128.792","128.562","120.066","122.227","123.359","125.306","113.710","104.479","100.930","100.000","93.797","95.388","91.812","96.974","110.357","109.341"
"Alberta","115.123","103.313","95.148","96.862","95.761","91.919","92.774","88.410","90.093","89.934","90.423","88.637","92.102","97.077","90.319","100.000","94.531","93.371","79.337","87.871","105.883","98.097"
"British Columbia","114.952","106.135","101.612","99.369","101.770","99.654","94.787","92.948","91.574","89.611","89.597","87.129","92.027","84.746","85.820","100.000","101.212","103.150","88.175","101.502","109.769","103.740"




Footnotes:
1,"The business sector covers the whole economy less public administration, non-profit institutions and the rental value of owner-occupied dwellings."
2,"Multifactor productivity measures the efficiency with which all inputs are used in production. It is the ratio of real gross domestic product (GDP) to combined labour and capital inputs."



"How to cite: Statistics Canada. Table 36-10-0211-01  Multifactor productivity and related variables in the aggregate business sector and major sub-sectors, by industry"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610021101
