"Multifactor productivity and related variables in the aggregate business sector and major sub-sectors, by industry 1"
"Frequency: Annual"
"Table: 36-10-0211-01 (formerly CANSIM 383-0026)"
"Release date: 2025-04-14"
"Geography: Province or territory"
""
""

"North American Industry Classification System (NAICS)","Accommodation and food services",,,,,,,,,,,,,,,,,,,,,
"Labour productivity measures and related measures","Multifactor productivity 2",,,,,,,,,,,,,,,,,,,,,
"Geography","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
,"Index, 2017=100",,,,,,,,,,,,,,,,,,,,,
"Newfoundland and Labrador","102.885","101.259","100.461","100.077","97.928","99.146","97.711","107.662","103.615","107.918","103.906","106.527","96.995","94.442","97.210","100.000","90.680","86.817","76.004","80.418","88.692","79.703"
"Prince Edward Island","76.623","80.780","85.043","94.677","90.663","88.637","90.854","93.946","95.797","92.767","92.619","99.978","91.208","97.523","104.538","100.000","97.125","95.883","79.798","98.546","109.738","111.831"
"Nova Scotia","102.134","102.033","103.459","102.230","100.876","94.611","97.348","97.125","97.607","96.837","100.605","94.912","99.067","101.088","100.112","100.000","92.737","95.701","80.814","89.956","92.641","90.198"
"New Brunswick","115.959","115.487","118.594","119.167","116.860","112.332","114.672","112.571","109.500","112.144","106.416","101.110","104.436","109.197","103.118","100.000","100.183","96.856","86.738","96.949","101.618","104.156"
"Quebec","103.096","106.063","107.522","108.983","103.510","104.652","100.420","100.082","97.268","96.760","94.027","94.839","100.227","99.271","100.874","100.000","98.454","96.570","90.513","92.790","101.054","96.350"
"Ontario","109.533","104.454","104.088","103.493","104.627","103.224","102.008","101.384","96.224","95.545","95.447","98.607","100.746","102.360","101.580","100.000","100.055","102.800","85.915","93.226","95.224","97.001"
"Manitoba","105.212","105.677","103.264","103.534","101.687","103.418","103.192","103.050","101.817","105.594","102.801","102.294","100.265","95.975","98.726","100.000","100.536","97.207","90.950","94.991","101.322","99.255"
"Saskatchewan","101.072","100.169","105.071","102.819","105.982","108.229","112.139","117.820","112.235","111.866","114.298","110.262","106.092","101.041","101.752","100.000","95.571","94.163","86.687","93.246","95.673","99.553"
"Alberta","109.688","107.381","111.650","113.500","117.950","113.827","109.995","108.750","103.484","99.602","102.011","105.374","106.667","99.020","96.448","100.000","99.114","100.732","93.167","97.358","104.506","107.585"
"British Columbia","120.546","112.164","113.616","111.428","115.645","114.248","110.273","107.110","102.771","102.971","96.631","98.035","103.043","101.510","99.743","100.000","100.478","104.008","97.435","114.575","121.618","119.569"




Footnotes:
1,"The business sector covers the whole economy less public administration, non-profit institutions and the rental value of owner-occupied dwellings."
2,"Multifactor productivity measures the efficiency with which all inputs are used in production. It is the ratio of real gross domestic product (GDP) to combined labour and capital inputs."



"How to cite: Statistics Canada. Table 36-10-0211-01  Multifactor productivity and related variables in the aggregate business sector and major sub-sectors, by industry"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610021101
