"Multifactor productivity and related variables in the aggregate business sector and major sub-sectors, by industry 1"
"Frequency: Annual"
"Table: 36-10-0211-01 (formerly CANSIM 383-0026)"
"Release date: 2025-04-14"
"Geography: Province or territory"
""
""

"North American Industry Classification System (NAICS)","Other private services 2",,,,,,,,,,,,,,,,,,,,,
"Labour productivity measures and related measures","Multifactor productivity 3",,,,,,,,,,,,,,,,,,,,,
"Geography","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
,"Index, 2017=100",,,,,,,,,,,,,,,,,,,,,
"Newfoundland and Labrador","94.738","102.716","103.721","93.998","90.765","100.077","100.943","100.044","102.836","98.583","97.668","103.874","100.240","99.138","99.122","100.000","99.028","94.206","93.075","92.404","89.508","88.013"
"Prince Edward Island","113.241","120.194","126.109","111.956","116.625","112.800","112.815","109.363","108.907","104.675","99.652","95.531","96.528","96.562","98.543","100.000","97.164","99.159","102.245","110.475","112.616","110.620"
"Nova Scotia","105.662","102.826","107.459","110.355","109.457","109.405","107.590","102.273","98.964","97.589","97.650","95.886","96.760","97.052","96.038","100.000","101.546","104.460","109.561","105.808","104.775","103.749"
"New Brunswick","123.219","121.799","124.778","122.394","117.488","118.302","114.391","113.276","107.272","110.657","107.756","102.006","101.323","103.217","100.344","100.000","101.824","103.426","102.153","104.093","104.548","98.777"
"Quebec","103.148","105.895","104.532","108.728","104.566","98.760","97.827","98.219","97.299","102.044","99.785","95.768","98.956","99.566","100.078","100.000","101.063","105.571","112.299","108.427","106.673","101.181"
"Ontario","118.458","112.824","113.707","115.675","112.106","106.921","106.079","105.434","102.775","103.245","102.083","101.950","104.900","101.099","101.630","100.000","102.528","100.567","106.895","101.530","102.344","99.119"
"Manitoba","95.324","93.255","93.316","90.600","92.657","91.222","90.661","91.875","92.370","94.523","95.330","96.603","99.456","97.844","99.663","100.000","103.621","103.581","103.949","96.047","99.364","91.925"
"Saskatchewan","97.503","98.485","100.920","101.174","101.185","100.834","107.266","109.747","103.906","107.851","106.177","102.859","104.344","105.102","103.300","100.000","101.369","101.568","104.595","103.661","104.557","104.692"
"Alberta","97.033","95.860","96.190","102.699","106.393","102.227","100.600","101.687","100.464","99.365","99.455","104.044","104.976","101.118","99.981","100.000","95.793","93.775","95.665","89.047","89.086","87.940"
"British Columbia","115.405","116.821","111.012","114.294","113.397","110.430","105.793","100.655","97.409","101.283","99.022","100.812","101.411","99.977","100.819","100.000","99.423","103.720","111.517","108.790","108.568","105.832"




Footnotes:
1,"The business sector covers the whole economy less public administration, non-profit institutions and the rental value of owner-occupied dwellings."
2,"This combines parts of the North American Industry Classification System (NAICS) codes 61, 62, 81."
3,"Multifactor productivity measures the efficiency with which all inputs are used in production. It is the ratio of real gross domestic product (GDP) to combined labour and capital inputs."



"How to cite: Statistics Canada. Table 36-10-0211-01  Multifactor productivity and related variables in the aggregate business sector and major sub-sectors, by industry"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610021101
