"Multifactor productivity and related variables in the aggregate business sector and major sub-sectors, by industry 1"
"Frequency: Annual"
"Table: 36-10-0211-01 (formerly CANSIM 383-0026)"
"Release date: 2025-04-14"
"Geography: Province or territory"
""
""

"North American Industry Classification System (NAICS)","Business sector, goods, special aggregation 2",,,,,,,,,,,,,,,,,,,,,
"Labour productivity measures and related measures","Multifactor productivity 3",,,,,,,,,,,,,,,,,,,,,
"Geography","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
,"Index, 2017=100",,,,,,,,,,,,,,,,,,,,,
"Newfoundland and Labrador","137.890","153.087","140.278","138.257","143.224","175.586","163.115","136.241","144.372","138.782","111.116","108.973","98.706","92.810","94.355","100.000","94.035","99.005","101.129","95.896","87.372","79.248"
"Prince Edward Island","97.769","92.394","93.537","89.374","86.449","87.404","84.187","83.424","85.277","85.017","85.655","87.662","86.104","92.242","96.751","100.000","97.333","100.623","99.872","103.249","106.040","98.711"
"Nova Scotia","107.266","107.564","105.583","102.557","98.541","95.865","99.910","97.022","97.509","92.361","88.385","89.735","93.031","96.219","96.562","100.000","98.724","100.152","103.167","103.144","103.134","99.383"
"New Brunswick","124.116","128.940","126.473","121.802","119.986","110.705","107.353","95.931","97.446","97.498","91.177","91.349","91.147","95.323","98.303","100.000","96.870","99.867","99.206","101.907","100.301","97.496"
"Quebec","97.981","96.156","97.553","97.894","97.305","98.998","100.073","97.526","96.314","95.771","96.055","94.661","97.462","98.201","99.393","100.000","100.712","101.368","102.461","102.005","101.039","97.171"
"Ontario","96.818","95.664","95.282","97.170","95.679","92.583","91.223","86.396","89.089","91.804","91.671","92.842","96.541","98.415","99.478","100.000","100.647","99.134","101.981","98.580","98.407","95.677"
"Manitoba","90.682","89.274","92.995","99.510","100.275","96.465","100.436","97.852","96.081","94.781","95.022","98.579","96.586","96.435","96.659","100.000","99.589","97.970","98.672","89.560","98.132","94.399"
"Saskatchewan","155.325","160.461","164.151","158.857","141.508","134.054","130.297","110.956","110.622","106.924","97.739","99.937","97.661","96.354","96.328","100.000","101.684","100.301","101.152","89.104","100.071","100.312"
"Alberta","117.204","114.398","115.307","109.401","104.840","97.086","91.512","86.097","89.661","92.193","90.813","93.145","96.568","93.375","94.494","100.000","102.685","102.776","101.476","102.594","106.237","103.694"
"British Columbia","106.756","105.982","107.402","108.739","106.964","100.677","97.999","94.817","94.630","95.057","92.493","90.873","97.824","98.851","100.105","100.000","102.607","99.308","104.524","102.846","100.074","97.766"




Footnotes:
1,"The business sector covers the whole economy less public administration, non-profit institutions and the rental value of owner-occupied dwellings."
2,"This combines the North American Industry Classification System (NAICS) codes 11, 21, 22, 23, 31-33."
3,"Multifactor productivity measures the efficiency with which all inputs are used in production. It is the ratio of real gross domestic product (GDP) to combined labour and capital inputs."



"How to cite: Statistics Canada. Table 36-10-0211-01  Multifactor productivity and related variables in the aggregate business sector and major sub-sectors, by industry"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610021101
