"Multifactor productivity and related variables in the aggregate business sector and major sub-sectors, by industry 1"
"Frequency: Annual"
"Table: 36-10-0211-01 (formerly CANSIM 383-0026)"
"Release date: 2025-04-14"
"Geography: Province or territory"
""
""

"North American Industry Classification System (NAICS)","Business sector, services, special aggregation 2",,,,,,,,,,,,,,,,,,,,,
"Labour productivity measures and related measures","Multifactor productivity 3",,,,,,,,,,,,,,,,,,,,,
"Geography","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
,"Index, 2017=100",,,,,,,,,,,,,,,,,,,,,
"Newfoundland and Labrador","90.606","92.163","91.337","89.869","89.258","89.017","89.554","93.030","94.008","95.484","96.704","96.333","97.101","96.215","96.854","100.000","96.744","94.414","94.222","90.020","91.132","91.162"
"Prince Edward Island","91.278","94.956","96.405","99.343","100.036","98.941","100.541","99.838","99.348","97.353","95.941","97.640","98.179","98.916","100.522","100.000","95.916","98.211","97.160","101.031","99.761","100.849"
"Nova Scotia","96.938","96.382","97.179","95.939","98.374","96.653","96.436","94.782","94.652","95.915","94.851","94.111","94.776","96.760","97.691","100.000","99.202","101.530","101.758","102.714","103.110","101.766"
"New Brunswick","101.698","101.804","103.388","106.787","102.857","102.780","98.959","98.749","99.955","100.843","100.521","99.146","99.661","100.423","99.021","100.000","101.285","100.909","99.787","100.378","100.434","97.818"
"Quebec","96.621","97.831","97.055","95.886","97.109","98.015","95.542","95.988","95.667","97.053","96.908","98.160","99.455","98.635","99.569","100.000","99.512","100.761","100.921","102.817","104.048","102.996"
"Ontario","97.867","96.259","96.017","97.011","96.734","96.852","94.478","94.151","94.035","95.109","95.231","95.658","97.297","97.586","98.262","100.000","100.149","99.982","100.554","99.071","99.079","97.272"
"Manitoba","90.557","90.032","89.554","89.569","92.834","94.780","93.557","93.904","95.146","96.969","97.090","97.538","99.357","97.091","99.178","100.000","100.716","99.473","97.874","97.103","99.325","98.172"
"Saskatchewan","86.749","88.761","93.150","95.522","95.715","100.790","104.380","101.071","100.487","105.382","105.994","104.567","102.368","100.561","99.940","100.000","97.430","95.491","95.630","98.840","99.982","101.992"
"Alberta","101.444","102.257","102.472","104.531","107.869","105.771","104.654","101.018","101.019","104.227","104.799","105.070","106.065","101.220","98.358","100.000","97.417","96.597","94.405","93.722","96.717","98.654"
"British Columbia","97.292","96.125","96.337","98.432","100.833","100.774","97.611","95.823","94.369","96.693","95.250","97.197","99.760","99.070","99.121","100.000","99.881","98.427","97.721","97.739","96.992","96.718"




Footnotes:
1,"The business sector covers the whole economy less public administration, non-profit institutions and the rental value of owner-occupied dwellings."
2,"This combines the North American Industry Classification System (NAICS) codes 41, 44-45, 48-49, 51, 52, 53, 54, 55, 56, 61, 62, 71, 72, 81 with the exception of owner-occupied dwellings industry."
3,"Multifactor productivity measures the efficiency with which all inputs are used in production. It is the ratio of real gross domestic product (GDP) to combined labour and capital inputs."



"How to cite: Statistics Canada. Table 36-10-0211-01  Multifactor productivity and related variables in the aggregate business sector and major sub-sectors, by industry"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610021101
