"Multifactor productivity and related variables in the aggregate business sector and major sub-sectors, by industry 1"
"Frequency: Annual"
"Table: 36-10-0211-01 (formerly CANSIM 383-0026)"
"Release date: 2025-04-14"
"Geography: Province or territory"
""
""

"North American Industry Classification System (NAICS)","Mining and oil and gas extraction 2",,,,,,,,,,,,,,,,,,,,,
"Labour productivity measures and related measures","Multifactor productivity 3",,,,,,,,,,,,,,,,,,,,,
"Geography","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
,"Index, 2017=100",,,,,,,,,,,,,,,,,,,,,
"Newfoundland and Labrador","166.072","192.256","169.454","166.579","174.906","226.725","203.446","159.987","171.536","163.940","118.350","116.521","99.023","86.338","92.302","100.000","95.401","105.092","108.139","100.558","89.723","78.082"
"Prince Edward Island","972.341","537.412","45.768","61.287","55.114","88.824","164.665","107.803","61.056","80.794","122.597","103.376","71.859","58.459","107.132","100.000","76.190","72.139","93.911","82.289","87.199","89.497"
"Nova Scotia","174.152","164.089","140.997","156.072","147.411","153.929","169.028","136.447","130.592","97.003","72.692","67.553","107.849","107.062","103.684","100.000","109.483","108.988","111.075","90.888","70.304","72.825"
"New Brunswick","293.813","327.816","321.432","299.831","418.680","333.589","317.792","169.069","161.279","142.233","121.494","78.724","69.557","86.683","91.635","100.000","96.395","91.284","97.708","106.551","89.693","73.131"
"Quebec","130.817","152.120","129.143","120.532","114.332","114.887","109.124","102.181","92.986","79.737","67.623","68.817","83.711","96.167","95.832","100.000","102.113","100.911","103.206","102.847","94.309","97.370"
"Ontario","195.136","196.862","187.810","181.454","150.340","134.448","133.948","96.260","98.559","114.664","97.735","102.795","105.796","102.660","100.775","100.000","96.641","91.213","81.249","75.690","76.135","69.480"
"Manitoba","154.274","161.114","161.568","160.694","178.362","159.187","147.199","148.077","136.829","128.464","119.203","102.275","95.979","98.336","99.676","100.000","94.350","98.038","96.255","82.093","79.280","79.663"
"Saskatchewan","248.101","258.998","245.412","216.031","186.935","179.196","157.985","117.290","125.919","119.461","102.673","94.634","95.233","94.481","92.942","100.000","102.902","99.363","95.719","101.526","107.188","107.855"
"Alberta","128.289","122.321","118.941","106.995","100.680","90.754","82.727","80.335","81.728","82.246","77.541","77.750","83.249","85.948","90.372","100.000","105.838","106.961","105.636","115.011","120.528","125.404"
"British Columbia","213.977","194.632","186.851","186.445","164.859","131.162","121.975","111.727","112.429","101.580","89.678","85.668","91.561","94.959","99.551","100.000","107.008","103.876","98.826","101.665","99.729","100.854"




Footnotes:
1,"The business sector covers the whole economy less public administration, non-profit institutions and the rental value of owner-occupied dwellings."
2,"This combines the business establishments of the North American Industry Classification System (NAICS) code 21."
3,"Multifactor productivity measures the efficiency with which all inputs are used in production. It is the ratio of real gross domestic product (GDP) to combined labour and capital inputs."



"How to cite: Statistics Canada. Table 36-10-0211-01  Multifactor productivity and related variables in the aggregate business sector and major sub-sectors, by industry"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610021101
