"Multifactor productivity and related variables in the aggregate business sector and major sub-sectors, by industry 1"
"Frequency: Annual"
"Table: 36-10-0211-01 (formerly CANSIM 383-0026)"
"Release date: 2025-04-14"
"Geography: Province or territory"
""
""

"North American Industry Classification System (NAICS)","Utilities",,,,,,,,,,,,,,,,,,,,,
"Labour productivity measures and related measures","Multifactor productivity 2",,,,,,,,,,,,,,,,,,,,,
"Geography","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
,"Index, 2017=100",,,,,,,,,,,,,,,,,,,,,
"Newfoundland and Labrador","128.976","123.983","129.298","138.881","145.053","146.387","151.620","143.854","170.688","165.623","154.423","144.501","126.002","113.507","104.929","100.000","100.205","102.685","104.966","107.467","109.601","122.591"
"Prince Edward Island","100.292","97.903","106.760","112.951","96.524","66.529","65.199","76.533","78.450","85.809","85.915","84.400","94.080","103.400","96.039","100.000","105.938","109.699","115.514","113.003","107.826","114.007"
"Nova Scotia","148.795","157.232","151.675","142.852","145.945","164.599","156.246","135.249","125.863","123.054","103.548","108.221","105.787","103.764","94.206","100.000","105.065","101.281","97.868","95.428","98.241","100.792"
"New Brunswick","92.090","89.861","88.223","104.697","85.600","82.990","70.922","68.223","69.783","74.205","65.860","83.972","91.217","98.139","101.793","100.000","104.184","118.864","118.229","130.974","136.760","149.823"
"Quebec","91.557","89.850","86.128","84.714","85.377","96.572","101.869","95.309","97.644","94.542","96.166","93.900","96.491","97.258","99.440","100.000","102.962","103.682","103.016","106.200","111.003","100.916"
"Ontario","121.422","124.604","122.779","127.569","121.631","117.895","123.382","117.906","111.326","109.159","106.226","105.030","110.305","103.118","103.529","100.000","99.192","99.567","99.264","95.371","96.709","95.547"
"Manitoba","122.423","96.352","111.853","139.826","133.533","135.415","136.702","124.220","117.299","117.063","110.075","123.043","116.394","111.482","106.887","100.000","100.775","109.194","118.854","100.545","124.123","113.688"
"Saskatchewan","121.383","127.940","129.412","124.985","126.128","125.857","127.434","120.144","120.891","108.284","104.102","95.026","92.252","90.898","95.398","100.000","102.616","104.991","102.829","104.577","106.876","108.207"
"Alberta","129.354","126.673","118.014","119.378","121.235","113.502","114.123","97.628","94.953","100.575","107.374","94.502","100.399","91.329","93.281","100.000","106.169","112.243","113.545","110.476","112.419","94.340"
"British Columbia","116.679","114.227","119.144","123.029","97.303","122.478","117.264","102.838","89.743","93.713","94.184","94.164","89.942","94.108","101.476","100.000","99.352","96.093","98.807","94.753","94.125","82.249"




Footnotes:
1,"The business sector covers the whole economy less public administration, non-profit institutions and the rental value of owner-occupied dwellings."
2,"Multifactor productivity measures the efficiency with which all inputs are used in production. It is the ratio of real gross domestic product (GDP) to combined labour and capital inputs."



"How to cite: Statistics Canada. Table 36-10-0211-01  Multifactor productivity and related variables in the aggregate business sector and major sub-sectors, by industry"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610021101
