"Multifactor productivity and related variables in the aggregate business sector and major sub-sectors, by industry 1"
"Frequency: Annual"
"Table: 36-10-0211-01 (formerly CANSIM 383-0026)"
"Release date: 2025-04-14"
"Geography: Province or territory"
""
""

"North American Industry Classification System (NAICS)","Construction",,,,,,,,,,,,,,,,,,,,,
"Labour productivity measures and related measures","Multifactor productivity 2",,,,,,,,,,,,,,,,,,,,,
"Geography","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
,"Index, 2017=100",,,,,,,,,,,,,,,,,,,,,
"Newfoundland and Labrador","87.971","89.450","95.660","95.919","86.310","77.571","80.439","83.349","83.567","83.602","79.794","78.125","83.715","89.268","91.941","100.000","86.871","89.213","104.798","91.878","88.749","84.112"
"Prince Edward Island","104.142","106.502","110.769","101.035","109.905","107.400","102.157","102.834","98.110","110.233","100.233","96.813","81.110","89.458","95.473","100.000","100.022","104.512","112.952","116.359","119.369","98.702"
"Nova Scotia","118.094","116.205","115.003","104.259","99.024","92.053","91.085","100.448","98.496","82.186","81.492","85.260","82.412","90.295","93.721","100.000","97.380","95.506","105.452","103.536","108.240","99.500"
"New Brunswick","110.168","123.951","109.019","113.058","114.537","109.537","111.640","99.135","98.098","100.965","94.699","89.580","90.964","93.891","95.627","100.000","102.908","104.353","109.629","111.367","106.969","93.602"
"Quebec","104.641","108.102","110.980","105.987","104.052","105.169","98.124","105.088","100.661","101.314","106.173","103.645","99.008","97.354","101.268","100.000","99.667","100.645","111.729","101.875","95.340","91.159"
"Ontario","104.758","107.088","103.744","103.622","103.118","102.475","97.255","98.200","95.345","93.935","90.288","92.493","94.332","98.929","99.439","100.000","99.425","96.616","109.453","96.230","92.592","85.508"
"Manitoba","91.747","89.693","87.955","90.312","86.537","84.506","89.414","94.848","98.064","94.873","89.969","88.589","96.149","96.822","98.913","100.000","103.511","99.768","107.808","94.603","100.047","89.522"
"Saskatchewan","124.806","123.109","130.897","132.599","118.124","109.383","108.010","115.601","117.607","104.398","101.334","103.328","103.480","99.746","97.641","100.000","101.292","95.126","105.934","101.126","103.475","103.134"
"Alberta","113.924","112.607","114.692","115.851","115.011","112.641","107.067","97.819","104.485","111.285","113.051","116.352","116.353","102.249","99.771","100.000","101.345","100.647","103.616","100.219","98.463","84.795"
"British Columbia","97.318","100.093","96.026","97.755","93.168","89.367","88.726","94.557","93.125","94.121","96.018","95.442","101.479","100.857","102.275","100.000","105.058","106.368","119.043","112.917","107.588","104.558"




Footnotes:
1,"The business sector covers the whole economy less public administration, non-profit institutions and the rental value of owner-occupied dwellings."
2,"Multifactor productivity measures the efficiency with which all inputs are used in production. It is the ratio of real gross domestic product (GDP) to combined labour and capital inputs."



"How to cite: Statistics Canada. Table 36-10-0211-01  Multifactor productivity and related variables in the aggregate business sector and major sub-sectors, by industry"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610021101
