"Multifactor productivity and related variables in the aggregate business sector and major sub-sectors, by industry 1"
"Frequency: Annual"
"Table: 36-10-0211-01 (formerly CANSIM 383-0026)"
"Release date: 2025-04-14"
"Geography: Province or territory"
""
""

"North American Industry Classification System (NAICS)","Manufacturing 2",,,,,,,,,,,,,,,,,,,,,
"Labour productivity measures and related measures","Multifactor productivity 3",,,,,,,,,,,,,,,,,,,,,
"Geography","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
,"Index, 2017=100",,,,,,,,,,,,,,,,,,,,,
"Newfoundland and Labrador","80.627","85.268","76.334","74.833","78.721","76.889","84.787","83.905","79.112","72.175","95.369","91.455","93.773","95.710","93.590","100.000","103.105","94.369","83.527","92.202","86.427","78.698"
"Prince Edward Island","104.848","95.684","85.803","76.189","75.811","77.014","73.372","70.736","72.272","68.938","73.049","81.315","83.324","91.614","99.677","100.000","95.552","96.236","96.074","86.575","90.103","91.270"
"Nova Scotia","86.854","89.813","95.474","89.753","83.156","78.484","81.270","81.096","85.861","93.545","93.086","93.847","92.383","96.055","97.043","100.000","99.572","103.285","104.924","110.190","107.574","106.758"
"New Brunswick","128.485","134.730","136.188","118.095","110.219","103.102","96.887","96.063","100.911","102.242","95.789","99.691","94.161","96.958","100.407","100.000","94.836","98.529","96.862","97.170","95.906","93.896"
"Quebec","102.061","97.869","99.454","102.564","102.406","103.322","106.086","100.168","98.578","98.776","98.729","97.276","99.846","100.096","99.709","100.000","101.073","101.778","100.258","102.639","104.778","102.164"
"Ontario","88.932","87.170","87.405","89.297","88.977","85.933","84.099","78.351","83.564","87.736","90.966","91.392","95.988","97.261","98.934","100.000","101.103","100.212","98.678","99.765","101.623","102.049"
"Manitoba","88.173","87.810","93.079","95.076","92.886","93.994","95.197","92.048","92.255","97.296","100.235","103.441","103.086","98.692","97.368","100.000","99.804","96.419","92.303","89.014","92.285","90.935"
"Saskatchewan","74.680","74.328","86.563","91.915","89.381","94.564","97.006","94.588","92.559","91.520","93.582","99.744","103.518","100.160","96.519","100.000","100.502","101.883","107.522","109.518","108.911","113.158"
"Alberta","84.663","80.979","87.540","92.885","91.512","88.077","87.944","79.737","83.681","88.609","92.185","98.575","99.389","95.302","96.324","100.000","98.209","94.533","89.311","86.062","85.861","86.775"
"British Columbia","87.946","87.699","91.967","92.920","100.373","98.125","95.945","90.263","93.343","97.528","96.166","94.632","98.561","99.298","99.093","100.000","99.424","93.479","96.397","95.365","92.984","91.585"




Footnotes:
1,"The business sector covers the whole economy less public administration, non-profit institutions and the rental value of owner-occupied dwellings."
2,"This combines the business establishments of the North American Industry Classification System (NAICS) codes 311-316, 321-327, 331-337, 339."
3,"Multifactor productivity measures the efficiency with which all inputs are used in production. It is the ratio of real gross domestic product (GDP) to combined labour and capital inputs."



"How to cite: Statistics Canada. Table 36-10-0211-01  Multifactor productivity and related variables in the aggregate business sector and major sub-sectors, by industry"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610021101
