"Multifactor productivity and related variables in the aggregate business sector and major sub-sectors, by industry 1"
"Frequency: Annual"
"Table: 36-10-0211-01 (formerly CANSIM 383-0026)"
"Release date: 2025-04-14"
"Geography: Province or territory"
""
""

"North American Industry Classification System (NAICS)","Wholesale trade",,,,,,,,,,,,,,,,,,,,,
"Labour productivity measures and related measures","Multifactor productivity 2",,,,,,,,,,,,,,,,,,,,,
"Geography","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
,"Index, 2017=100",,,,,,,,,,,,,,,,,,,,,
"Newfoundland and Labrador","58.490","59.169","62.486","68.563","70.950","76.646","79.231","72.790","77.240","91.821","99.147","100.905","99.201","100.810","99.422","100.000","94.724","96.843","101.128","95.482","83.589","81.393"
"Prince Edward Island","82.477","93.065","97.399","93.319","99.448","112.875","113.924","106.385","104.899","107.039","111.573","108.262","119.001","105.503","105.720","100.000","94.764","111.304","110.508","116.490","98.144","96.664"
"Nova Scotia","75.710","79.150","81.955","80.533","89.406","92.441","85.995","85.080","97.188","102.477","98.073","101.889","102.287","103.265","99.136","100.000","96.956","102.933","115.239","110.103","105.351","98.809"
"New Brunswick","98.889","107.126","131.016","153.999","145.354","143.081","135.243","131.587","126.093","112.106","100.021","104.185","102.424","102.697","100.216","100.000","101.776","105.269","112.924","106.611","105.912","96.867"
"Quebec","89.218","93.047","91.671","91.375","94.997","96.630","95.090","92.062","95.751","95.219","93.503","96.967","98.897","97.153","96.153","100.000","98.021","103.246","108.267","109.986","106.598","96.783"
"Ontario","71.147","72.562","71.893","75.450","79.591","80.669","75.495","73.750","81.053","85.799","87.835","90.911","93.696","94.959","97.702","100.000","98.414","100.331","103.779","98.034","93.678","90.628"
"Manitoba","85.459","86.592","87.609","89.116","96.906","102.969","102.362","106.008","106.219","104.822","102.218","107.148","112.264","101.153","99.796","100.000","98.651","96.160","101.211","95.111","91.222","88.206"
"Saskatchewan","66.514","70.470","85.205","84.240","87.148","104.142","121.777","105.148","112.099","126.115","129.122","126.936","113.299","106.481","104.187","100.000","98.303","96.370","95.854","96.345","91.237","91.640"
"Alberta","98.614","103.013","107.309","108.799","115.549","107.400","103.267","93.322","97.243","110.930","109.819","112.711","112.312","100.278","98.765","100.000","98.803","99.630","102.845","103.456","104.982","104.019"
"British Columbia","91.751","91.356","91.483","92.011","95.741","101.624","95.402","93.052","94.224","98.856","100.480","99.959","99.026","100.193","97.206","100.000","97.508","99.827","111.488","110.830","106.611","99.282"




Footnotes:
1,"The business sector covers the whole economy less public administration, non-profit institutions and the rental value of owner-occupied dwellings."
2,"Multifactor productivity measures the efficiency with which all inputs are used in production. It is the ratio of real gross domestic product (GDP) to combined labour and capital inputs."



"How to cite: Statistics Canada. Table 36-10-0211-01  Multifactor productivity and related variables in the aggregate business sector and major sub-sectors, by industry"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610021101
