"Multifactor productivity and related variables in the aggregate business sector and major sub-sectors, by industry 1"
"Frequency: Annual"
"Table: 36-10-0211-01 (formerly CANSIM 383-0026)"
"Release date: 2025-04-14"
"Geography: Province or territory"
""
""

"North American Industry Classification System (NAICS)","Retail trade",,,,,,,,,,,,,,,,,,,,,
"Labour productivity measures and related measures","Multifactor productivity 2",,,,,,,,,,,,,,,,,,,,,
"Geography","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
,"Index, 2017=100",,,,,,,,,,,,,,,,,,,,,
"Newfoundland and Labrador","75.505","73.899","76.096","78.606","76.459","80.025","82.172","86.200","87.039","89.119","88.411","89.545","93.674","92.722","94.758","100.000","98.646","98.309","103.296","102.669","102.045","107.833"
"Prince Edward Island","88.006","88.778","88.538","91.737","94.505","98.503","102.345","100.937","101.779","97.921","93.602","93.310","96.840","99.361","103.811","100.000","99.389","108.924","112.893","115.006","118.471","118.224"
"Nova Scotia","89.809","88.375","85.521","84.462","87.996","86.955","90.390","88.133","88.147","90.087","82.134","84.677","86.166","89.545","97.247","100.000","100.432","104.379","109.281","112.357","112.841","113.656"
"New Brunswick","99.769","97.557","91.166","92.466","92.046","90.388","90.517","88.617","89.335","94.111","95.019","97.597","102.820","101.619","97.787","100.000","105.889","104.181","110.447","112.406","114.515","113.301"
"Quebec","91.581","91.537","89.125","86.819","89.539","91.958","91.376","90.156","88.099","90.506","89.927","92.301","94.659","94.356","99.239","100.000","102.399","105.096","109.827","116.828","115.017","121.894"
"Ontario","92.930","89.939","87.962","89.173","91.556","92.892","94.531","92.545","90.180","90.056","89.361","90.268","92.425","93.572","96.727","100.000","102.454","102.612","109.634","108.578","109.973","108.810"
"Manitoba","83.354","81.081","81.096","81.942","87.493","92.901","92.124","91.318","94.277","95.698","93.631","94.700","97.769","96.229","97.875","100.000","100.981","103.171","103.452","101.181","104.208","104.852"
"Saskatchewan","70.163","70.082","72.064","78.991","84.413","91.088","91.895","92.529","91.766","92.561","95.279","96.179","94.868","94.839","99.937","100.000","97.618","95.164","97.136","102.583","103.487","106.448"
"Alberta","82.638","81.686","81.286","85.488","92.943","94.450","95.626","90.008","89.689","91.517","94.688","99.262","105.263","99.537","99.691","100.000","99.362","97.511","97.031","96.590","102.375","108.979"
"British Columbia","89.013","85.561","85.196","86.355","94.345","94.757","89.923","88.930","88.125","90.084","87.340","90.853","94.777","95.969","98.395","100.000","103.870","104.060","112.268","112.640","109.058","112.042"




Footnotes:
1,"The business sector covers the whole economy less public administration, non-profit institutions and the rental value of owner-occupied dwellings."
2,"Multifactor productivity measures the efficiency with which all inputs are used in production. It is the ratio of real gross domestic product (GDP) to combined labour and capital inputs."



"How to cite: Statistics Canada. Table 36-10-0211-01  Multifactor productivity and related variables in the aggregate business sector and major sub-sectors, by industry"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610021101
