"Multifactor productivity and related variables in the aggregate business sector and major sub-sectors, by industry 1"
"Frequency: Annual"
"Table: 36-10-0211-01 (formerly CANSIM 383-0026)"
"Release date: 2025-04-14"
"Geography: Province or territory"
""
""

"North American Industry Classification System (NAICS)","Transportation and warehousing",,,,,,,,,,,,,,,,,,,,,
"Labour productivity measures and related measures","Multifactor productivity 2",,,,,,,,,,,,,,,,,,,,,
"Geography","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
,"Index, 2017=100",,,,,,,,,,,,,,,,,,,,,
"Newfoundland and Labrador","101.590","112.906","110.382","113.124","111.517","105.340","104.995","98.455","100.039","94.500","98.066","91.553","95.873","92.698","94.354","100.000","93.378","89.809","73.981","66.060","78.939","79.028"
"Prince Edward Island","72.385","81.374","83.836","93.395","94.965","92.899","91.770","93.659","94.954","99.344","100.593","95.847","101.908","102.397","98.696","100.000","89.494","86.956","71.807","77.273","76.972","78.428"
"Nova Scotia","113.660","118.783","123.987","112.721","111.871","107.089","109.787","101.472","97.002","97.292","95.214","94.777","101.000","95.863","98.123","100.000","98.401","98.787","82.576","86.763","100.871","102.202"
"New Brunswick","86.053","85.473","87.481","92.289","90.670","90.332","80.472","81.730","87.566","89.952","87.903","90.341","91.815","92.226","93.353","100.000","94.254","93.625","83.726","81.860","77.339","73.981"
"Quebec","95.436","98.606","100.158","100.473","100.517","101.584","98.516","96.641","99.355","101.027","99.028","98.047","100.066","97.764","100.697","100.000","94.906","92.335","70.606","70.239","80.128","82.406"
"Ontario","109.525","110.960","112.408","114.960","112.802","110.506","110.884","103.834","105.371","106.741","101.769","102.247","104.243","101.327","100.294","100.000","94.790","92.714","71.900","71.800","83.352","86.710"
"Manitoba","74.908","77.699","79.194","82.463","84.930","83.768","80.762","78.556","79.791","81.606","83.830","83.037","85.839","90.153","94.101","100.000","99.314","99.433","85.080","89.004","95.398","97.756"
"Saskatchewan","90.423","94.244","100.344","104.472","103.796","102.520","98.216","89.807","86.974","92.235","89.334","88.158","90.993","92.975","93.123","100.000","92.285","89.944","85.144","89.530","96.639","103.151"
"Alberta","130.974","131.513","129.737","133.587","137.382","131.095","121.633","115.982","118.372","119.752","118.176","108.015","106.662","101.218","97.494","100.000","97.912","98.173","82.369","85.958","92.416","95.079"
"British Columbia","87.507","89.724","94.630","102.030","99.286","92.057","87.765","89.532","89.292","92.935","94.277","96.559","99.418","98.731","97.302","100.000","95.236","84.932","58.260","57.260","61.391","60.390"




Footnotes:
1,"The business sector covers the whole economy less public administration, non-profit institutions and the rental value of owner-occupied dwellings."
2,"Multifactor productivity measures the efficiency with which all inputs are used in production. It is the ratio of real gross domestic product (GDP) to combined labour and capital inputs."



"How to cite: Statistics Canada. Table 36-10-0211-01  Multifactor productivity and related variables in the aggregate business sector and major sub-sectors, by industry"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610021101
