"Multifactor productivity and related variables in the aggregate business sector and major sub-sectors, by industry 1"
"Frequency: Annual"
"Table: 36-10-0211-01 (formerly CANSIM 383-0026)"
"Release date: 2025-04-14"
"Geography: Province or territory"
""
""

"North American Industry Classification System (NAICS)","Information and cultural industries",,,,,,,,,,,,,,,,,,,,,
"Labour productivity measures and related measures","Multifactor productivity 2",,,,,,,,,,,,,,,,,,,,,
"Geography","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
,"Index, 2017=100",,,,,,,,,,,,,,,,,,,,,
"Newfoundland and Labrador","75.765","75.869","66.183","58.437","64.349","56.156","54.469","69.976","80.178","88.233","96.726","98.198","92.924","98.553","108.280","100.000","97.862","96.949","91.905","89.713","86.635","87.614"
"Prince Edward Island","90.832","94.173","90.967","102.503","109.097","96.875","93.887","102.141","97.130","97.028","99.345","97.654","101.389","99.008","109.983","100.000","91.139","90.842","100.745","96.019","92.274","97.364"
"Nova Scotia","80.748","77.831","76.303","84.003","82.311","79.687","79.144","84.059","87.526","82.701","91.315","83.948","84.705","90.216","92.109","100.000","95.417","100.692","91.706","93.796","95.822","99.501"
"New Brunswick","122.577","120.702","113.640","111.974","99.321","101.282","97.353","99.948","111.583","122.804","126.130","121.225","113.123","116.017","109.135","100.000","106.691","108.242","104.038","104.722","100.914","97.493"
"Quebec","98.087","98.157","94.414","95.638","104.696","104.762","98.990","103.370","103.167","110.063","112.654","116.515","111.409","107.673","104.410","100.000","99.876","99.834","100.979","100.807","103.925","102.289"
"Ontario","93.600","90.854","94.001","93.926","94.050","92.579","97.195","96.895","100.437","102.377","107.151","107.280","106.238","101.222","98.738","100.000","97.810","99.409","97.321","94.235","98.476","99.643"
"Manitoba","88.133","86.004","84.621","85.931","89.475","90.158","90.464","94.384","99.989","103.708","104.030","98.031","98.546","99.993","105.264","100.000","103.794","102.357","102.208","98.759","101.735","101.196"
"Saskatchewan","90.862","93.924","98.084","99.469","94.389","101.507","102.518","107.295","106.555","106.338","104.925","95.818","92.517","99.365","108.837","100.000","101.390","95.809","100.463","101.359","100.105","106.038"
"Alberta","72.250","76.860","86.028","84.764","91.856","95.687","100.336","100.779","103.119","99.958","98.769","97.383","103.151","102.265","103.982","100.000","100.713","102.288","100.105","96.885","100.589","105.500"
"British Columbia","96.739","108.506","108.490","117.670","116.911","117.268","117.878","115.888","113.940","112.950","109.354","109.239","111.180","109.939","104.358","100.000","101.332","104.503","110.440","106.930","108.590","108.881"




Footnotes:
1,"The business sector covers the whole economy less public administration, non-profit institutions and the rental value of owner-occupied dwellings."
2,"Multifactor productivity measures the efficiency with which all inputs are used in production. It is the ratio of real gross domestic product (GDP) to combined labour and capital inputs."



"How to cite: Statistics Canada. Table 36-10-0211-01  Multifactor productivity and related variables in the aggregate business sector and major sub-sectors, by industry"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610021101
