"Multifactor productivity, gross output, value-added, capital, labour and intermediate inputs at a detailed industry level c 1 2"
"Frequency: Annual"
"Table: 36-10-0217-01 (formerly CANSIM 383-0032)"
"Release date: 2025-04-07"
"Geography: Canada"
""
""

"Multifactor productivity and related variables","Multifactor productivity based on gross output 3",,,,,,,,,,,,,,,,,,,
"Geography","Canada",,,,,,,,,,,,,,,,,,,
"North American Industry Classification System (NAICS)","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
,"Index, 2017=100",,,,,,,,,,,,,,,,,,,
"Agriculture, forestry, fishing and hunting","82.841","85.301","87.834","88.837","89.412","89.482","92.617","91.100","91.487","92.437","91.856","96.960","96.461","97.972","99.374","100.000","99.372","99.144","100.441","93.235"
"Crop and animal production 4","78.934","82.555","85.427","86.717","87.411","87.636","91.978","90.840","90.103","90.756","90.094","95.982","94.981","96.900","99.332","100.000","99.290","100.059","101.883","93.545"
"Forestry and logging","92.779","92.354","93.523","93.889","95.378","94.929","94.570","91.528","97.053","98.940","100.577","101.382","102.480","102.116","99.316","100.000","100.103","95.172","94.895","95.715"
"Fishing, hunting and trapping","85.112","86.707","88.026","85.989","86.588","87.007","90.419","94.904","97.271","98.097","98.139","100.597","103.694","103.007","100.950","100.000","94.857","95.408","91.824","92.534"
"Support activities for agriculture and forestry","101.721","100.005","101.837","102.021","100.281","103.395","99.228","101.829","101.390","103.320","102.698","104.098","103.072","101.536","97.454","100.000","101.643","99.270","101.665","98.935"
"Mining and oil and gas extraction","137.491","135.043","129.544","121.109","114.896","110.161","103.143","96.102","98.038","96.971","90.964","90.545","93.630","94.521","96.052","100.000","101.992","101.992","100.944","103.557"
"Oil and gas extraction","132.926","128.053","121.479","111.746","106.721","102.296","95.349","92.927","93.318","92.355","88.080","88.854","91.786","93.713","96.280","100.000","103.479","104.542","105.256","109.390"
"Mining (except oil and gas)","157.241","165.070","164.659","156.826","144.276","138.982","129.196","103.659","109.618","104.600","92.502","90.163","93.904","97.121","97.688","100.000","97.848","96.057","94.157","93.702"
"Support activities for mining and oil and gas extraction","115.825","117.953","116.244","119.656","114.645","107.754","106.196","94.656","99.432","103.468","99.100","97.174","100.355","91.517","91.739","100.000","103.029","100.886","92.350","95.598"
"Utilities","113.996","112.585","110.782","112.915","109.559","111.955","113.554","106.331","104.217","103.374","102.321","100.975","102.110","99.733","100.726","100.000","100.974","101.793","101.912","100.443"
"Electric power generation, transmission and distribution (Terminated)","98.797t","97.229t","95.409t","98.275t","97.008t","100.000t","101.604t","97.739t","96.622t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t"
"Natural gas distribution, water and other systems (Terminated) 5","112.696t","107.608t","101.124t","96.748t","96.295t","100.000t","104.643t","104.682t","104.618t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t"
"Construction","103.098","103.828","103.394","103.012","101.966","101.180","99.618","99.354","99.098","99.253","99.424","100.332","100.605","99.980","99.913","100.000","100.334","99.840","103.712","100.478"
"Manufacturing","98.919","98.348","98.783","99.246","99.274","98.585","98.240","96.357","97.292","98.131","98.671","98.839","99.707","99.697","99.794","100.000","100.044","99.690","99.287","99.539"
"Food manufacturing","98.644","97.392","97.487","98.122","98.473","98.760","99.576","98.780","98.067","97.868","97.289","97.796","99.573","100.097","99.697","100.000","98.846","98.246","98.254","98.637"
"Beverage and tobacco product manufacturing","117.463","114.069","113.836","113.083","113.313","108.670","108.111","105.837","105.805","103.232","102.145","99.323","99.694","101.549","102.643","100.000","97.778","93.837","92.912","90.986"
"Textile and textile product mills 6","93.505","92.129","94.002","92.409","91.116","90.865","93.220","88.295","91.856","92.184","94.906","92.461","93.973","99.647","96.434","100.000","101.876","102.630","106.379","105.295"
"Clothing, Leather and allied product manufacturing 7","100.304","100.713","98.221","98.933","100.287","96.837","98.768","97.902","93.838","96.198","98.840","97.363","98.068","98.162","98.331","100.000","104.472","101.377","98.718","100.396"
"Wood product manufacturing","88.910","89.677","89.367","92.347","94.741","95.922","95.254","93.740","93.555","96.081","97.408","98.245","99.597","99.038","100.846","100.000","98.799","98.736","100.543","100.263"
"Paper manufacturing","93.868","94.912","95.741","96.902","95.599","96.721","97.335","94.580","97.637","98.186","97.733","96.978","99.054","101.313","101.255","100.000","99.624","97.920","97.542","98.215"
"Printing and related support activities","98.904","96.185","98.682","98.733","100.102","97.897","99.971","98.083","94.306","93.954","95.376","93.761","94.811","98.080","99.852","100.000","99.363","103.496","97.484","89.868"
"Petroleum and coal products manufacturing","106.428","105.259","103.992","102.170","100.500","99.875","98.837","98.817","98.000","97.276","97.728","98.615","99.336","99.503","99.800","100.000","101.261","100.694","100.984","101.326"
"Chemical manufacturing","99.048","98.615","98.382","98.360","98.661","97.013","95.832","94.177","95.607","96.881","96.813","98.317","98.192","98.971","100.816","100.000","101.497","99.766","100.822","99.488"
"Plastics and rubber products manufacturing","93.244","92.619","93.608","93.511","93.036","92.643","92.876","90.465","91.643","93.426","94.513","96.533","96.583","97.172","97.485","100.000","97.876","96.296","97.275","99.831"
"Non-metallic mineral product manufacturing","104.926","105.163","105.922","107.982","106.156","104.901","104.937","100.168","99.429","100.015","100.832","99.850","100.864","98.553","98.748","100.000","101.345","101.029","106.916","108.817"
"Primary metal manufacturing","100.925","101.289","101.862","103.684","103.809","103.033","101.365","98.503","100.244","99.852","100.439","99.669","100.758","100.052","99.728","100.000","101.111","101.010","100.124","99.681"
"Fabricated metal product manufacturing","100.714","99.266","98.839","98.626","99.695","99.398","97.324","95.018","96.668","98.681","102.093","103.582","102.104","101.646","99.405","100.000","100.453","101.081","99.922","99.784"
"Machinery manufacturing","93.708","92.740","95.421","94.943","95.233","94.029","95.120","92.525","92.818","96.811","98.085","98.098","99.452","98.294","97.154","100.000","101.082","99.837","97.682","102.370"
"Computer and electronic product manufacturing","93.918","93.910","93.812","93.484","93.345","93.616","96.908","95.947","99.162","98.842","97.538","95.514","100.487","98.367","97.863","100.000","100.752","101.800","101.802","105.402"
"Electrical equipment, appliance and component manufacturing","97.490","93.888","95.285","96.556","96.626","96.749","98.328","97.741","97.128","98.626","98.824","97.783","97.492","98.409","100.456","100.000","99.593","98.585","97.674","94.484"
"Transportation equipment manufacturing","99.181","98.996","99.770","100.688","100.734","99.527","98.477","94.249","98.106","100.210","101.291","100.828","101.672","100.926","100.969","100.000","99.489","100.651","97.111","96.234"
"Furniture and related product manufacturing","101.470","99.380","100.432","99.021","97.280","95.328","94.644","92.746","93.569","93.989","95.517","96.755","97.543","96.812","98.044","100.000","101.810","99.572","98.473","98.511"
"Miscellaneous manufacturing","106.598","105.822","107.584","106.863","106.542","104.804","100.958","99.950","99.592","101.724","98.957","99.496","97.977","97.891","99.470","100.000","99.205","99.360","102.507","104.547"
"Wholesale trade","91.798","92.920","92.896","94.289","96.185","96.911","95.443","93.677","98.028","100.505","101.042","101.802","101.717","99.989","99.526","100.000","98.280","99.213","102.825","102.153"
"Retail trade","94.826","93.711","92.919","93.061","95.520","96.787","97.170","96.242","95.337","96.172","95.670","97.180","98.164","97.973","99.555","100.000","100.972","100.841","105.285","105.935"
"Transportation and warehousing","100.158","100.167","101.709","104.299","103.921","102.699","101.224","99.276","100.238","101.157","100.198","99.392","100.277","99.448","99.264","100.000","97.835","96.415","85.771","85.463"
"Air, rail, water and scenic and sightseeing transportation and support activities for transportation (Terminated) 8","92.405t","93.904t","96.404t","100.752t","101.894t","100.000t","100.211t","98.161t","99.902t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t"
"Truck transportation (Terminated)","102.095t","101.901t","98.569t","101.455t","100.025t","100.000t","100.077t","101.900t","104.299t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t"
"Transit and ground passenger transportation (Terminated)","101.874t","100.014t","102.794t","103.533t","98.882t","100.000t","98.803t","90.249t","85.554t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t"
"Pipeline transportation (Terminated)","96.777t","97.541t","96.954t","99.498t","102.756t","100.000t","84.016t","80.215t","73.674t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t"
"Postal service and couriers and messengers (Terminated) 9","101.575t","103.329t","102.150t","102.664t","98.729t","100.000t","99.730t","100.761t","98.491t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t"
"Warehousing and storage (Terminated)","97.140t","96.814t","100.509t","100.499t","98.931t","100.000t","97.916t","92.155t","95.677t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t"
"Information and cultural industries","96.279","97.276","97.740","98.169","99.154","99.319","100.041","100.822","102.001","102.801","103.791","103.769","103.615","102.145","101.064","100.000","99.650","100.170","99.766","98.333"
"Motion picture and sound recording industries (Terminated)","102.320t","98.699t","98.711t","100.022t","102.267t","100.000t","99.901t","95.843t","98.721t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t"
"Broadcasting, telecommunications, publishing industries and other information services (Terminated) 10","97.547t","98.358t","99.580t","99.892t","100.081t","100.000t","99.843t","101.319t","100.516t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t"
"Finance, insurance, real estate and renting and leasing 11","93.165","92.808","92.408","91.202","90.401","90.279","89.093","90.560","91.285","92.687","93.170","94.645","95.345","96.844","97.157","100.000","100.742","100.417","102.514","103.408"
"Professional, scientific and technical services","104.745","104.672","103.456","103.815","103.835","103.338","101.503","101.158","98.882","98.599","99.422","99.237","101.443","99.395","100.170","100.000","100.441","100.467","102.224","99.599"
"Administrative and support, waste management and remediation services","106.983","105.808","105.495","105.890","105.085","107.151","103.936","103.538","101.712","101.601","102.716","101.407","101.621","101.512","101.180","100.000","101.021","100.857","97.702","98.886"
"Administrative and support services (Terminated)","103.302t","99.709t","98.783t","99.992t","98.484t","100.000t","96.976t","98.530t","97.708t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t"
"Waste management and remediation services (Terminated)","95.986t","96.429t","101.834t","102.262t","98.530t","100.000t","101.306t","101.725t","104.908t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t"
