"Implicit price indexes, gross domestic product, provincial and territorial"
"Frequency: Annual"
"Table: 36-10-0223-01 (formerly CANSIM 384-0039)"
"Release date: 2025-11-06"
"Geography: Canada, Province or territory"
""
""

"Geography","Canada 1",,,,,,,,,,,,,,,,,,,,,,
"Index","Implicit price indexes",,,,,,,,,,,,,,,,,,,,,,
"Estimates","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
,"Index, 2017=100",,,,,,,,,,,,,,,,,,,,,,
"Final consumption expenditure","78.3","79.9","81.2","82.9","84.4","86.0","87.8","88.5","89.7","92.0","93.3","95.0","96.9","98.0","98.8","100.0","101.5","103.3","105.0","107.8","113.6","117.7","121.5"
"Household final consumption expenditure","82.2","83.5","84.6","86.0","87.0","88.3","89.6","89.7","90.9","92.9","94.1","95.3","97.2","98.2","99.0","100.0","101.6","103.2","104.0","107.0","113.4","117.6","120.8"
"Goods","87.4","89.0","90.0","91.7","92.2","92.6","93.0","91.7","93.0","95.4","96.3","96.9","98.3","98.3","98.9","100.0","101.8","103.0","103.2","107.7","116.7","120.4","121.4"
"Durable goods","103.4","103.2","102.4","102.1","101.0","100.3","95.6","93.9","95.0","94.7","94.9","95.0","95.6","97.1","99.0","100.0","100.6","101.6","103.3","108.4","115.9","118.6","119.5"
"Semi-durable goods","112.6","111.2","110.2","109.1","107.0","105.5","103.1","102.2","99.8","99.1","98.6","98.1","98.9","100.2","100.6","100.0","100.3","101.2","101.0","100.9","103.7","105.5","103.6"
"Non-durable goods","74.1","77.0","79.2","82.3","84.1","85.6","89.2","88.0","90.3","94.8","96.5","97.5","99.6","98.3","98.4","100.0","102.8","104.3","103.9","109.5","121.3","126.2","128.2"
"Services","78.0","79.1","80.4","81.5","83.0","84.9","86.9","88.2","89.3","90.9","92.3","94.2","96.3","98.1","99.1","100.0","101.4","103.4","104.6","106.3","110.5","115.1","120.0"
"Non-profit institutions serving households' final consumption expenditure","70.3","73.9","79.2","81.1","83.1","87.3","89.3","89.6","90.5","91.8","93.4","94.1","96.3","98.0","97.4","100.0","102.9","104.6","105.5","109.2","112.8","117.3","121.3"
"General governments final consumption expenditure","69.3","71.3","72.7","75.2","77.7","80.1","83.0","85.4","86.6","89.6","91.2","94.1","96.1","97.5","98.2","100.0","101.1","103.5","107.7","109.9","114.4","118.0","123.3"
"Gross fixed capital formation","71.6","71.7","73.4","74.9","77.7","81.0","84.2","85.5","85.5","87.2","89.3","90.4","93.5","96.3","98.1","100.0","101.9","104.2","106.7","114.9","126.0","131.5","136.1"
"Business gross fixed capital formation","71.9","71.9","73.6","75.1","78.0","81.2","84.0","85.7","85.6","87.1","89.1","90.1","93.3","96.0","98.0","100.0","101.9","104.2","107.2","116.0","127.4","133.1","137.8"
"Residential structures","56.3","59.1","62.8","65.7","70.6","77.0","79.9","79.4","81.6","84.0","86.1","87.6","90.2","92.5","95.8","100.0","102.1","104.0","110.2","125.7","141.7","146.1","150.7"
"Non-residential structures, machinery and equipment","84.7","81.8","82.0","82.5","83.9","85.0","88.0","90.7","88.6","89.5","91.4","92.4","95.9","98.5","99.8","100.0","102.1","104.6","105.6","109.1","118.1","124.4","128.7"
"Non-residential structures","59.6","60.9","64.7","68.8","73.7","78.3","83.2","84.1","86.8","89.9","92.6","94.3","97.3","98.0","99.3","100.0","102.5","104.8","105.4","113.3","122.7","127.5","131.4"
"Machinery and equipment","116.2","107.7","103.3","99.1","96.4","93.3","93.9","99.2","90.6","88.4","89.1","88.8","93.2","99.2","100.5","100.0","101.4","104.3","106.0","103.2","111.6","120.3","125.2"
"Intellectual property products","74.7","75.8","77.1","77.7","80.0","81.9","84.3","86.6","87.3","88.5","90.2","90.5","93.9","98.6","99.2","100.0","99.9","102.7","103.0","105.2","109.5","116.3","122.1"
"Non-profit institutions serving households' gross fixed capital formation","77.8","76.9","77.2","78.3","80.1","82.9","87.0","87.8","87.0","88.3","90.0","91.7","93.2","96.2","97.9","100.0","101.9","103.6","105.0","113.0","121.9","124.8","127.7"
"General governments gross fixed capital formation","69.9","70.6","72.2","73.7","76.6","80.2","84.9","85.2","85.5","88.0","90.2","92.1","94.6","97.7","98.5","100.0","102.2","104.4","104.6","110.0","119.2","123.7","128.2"
