"Gross domestic product (GDP) at basic prices, by industry, annual average (x 1,000,000) 1 2"
"Frequency: Annual"
"Table: 36-10-0434-03"
"Release date: 2025-10-31"
"Geography: Canada"
""
""

"Seasonal adjustment","Seasonally adjusted at annual rates",,,,,,,,,,,,,,,,,,,,,,,
"Prices","2017 constant prices 3",,,,,,,,,,,,,,,,,,,,,,,
"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,
"North American Industry Classification System (NAICS)","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
,"Dollars",,,,,,,,,,,,,,,,,,,,,,,
"All industries  [T001] 4","1,495,909","1,523,540","1,571,692","1,620,615","1,664,502","1,696,709","1,707,919","1,652,212","1,709,230","1,764,972","1,797,522","1,843,483","1,895,882","1,912,118","1,931,730","1,991,531","2,048,172","2,089,590","1,992,158","2,111,611","2,197,310","2,233,137","2,270,956",""
"Goods-producing industries  [T002] 4","470,531","475,650","490,569","503,046","505,026","503,026","494,544","447,015","474,543","495,543","504,339","521,438","539,392","535,810","529,191","548,080","563,778","565,730","535,044","557,204","580,201","577,871","577,478",""
"Service-producing industries  [T003] 4","1,017,355","1,039,737","1,072,716","1,109,064","1,151,833","1,187,046","1,208,099","1,206,298","1,235,091","1,269,356","1,293,152","1,321,583","1,355,724","1,376,322","1,402,449","1,443,451","1,484,394","1,523,860","1,457,114","1,554,407","1,617,109","1,655,266","1,693,478",""
"Business sector industries  [T004]","","","","","","1,380,277","1,380,889","1,317,706","1,367,464","1,417,957","1,447,247","1,490,963","1,539,647","1,552,790","1,567,765","1,622,342","1,666,809","1,702,404","1,610,906","1,711,130","1,786,588","1,809,430","1,832,456",""
"Non-business sector industries  [T007]","","","","","","314,338","326,043","336,271","343,265","348,007","351,007","352,784","356,199","359,294","363,930","369,189","381,363","387,186","381,252","400,481","410,722","423,707","438,500",""
"Industrial production  [T010] 4","335,134","335,442","342,798","350,596","349,883","344,898","333,478","297,550","315,393","330,416","329,959","335,641","352,314","350,640","350,186","363,080","375,328","375,061","346,034","363,766","379,165","379,801","378,752",""
"Non-durable manufacturing industries  [T011] 4","107,290","106,351","105,272","104,787","101,842","97,945","94,605","86,926","88,482","88,177","87,676","87,243","89,741","92,350","92,468","94,156","96,066","94,898","91,448","95,936","98,141","95,257","95,373",""
"Durable manufacturing industries  [T012] 4","121,303","119,173","123,999","128,317","126,938","123,480","114,792","93,735","100,261","106,931","109,964","109,585","112,972","111,498","110,819","113,153","117,262","117,952","102,664","110,072","116,175","118,829","112,790",""
"Information and communication technology sector  [T013] 4","","","","","","71,481","72,781","71,434","74,114","76,910","77,076","76,429","79,983","82,565","85,652","89,748","95,559","103,137","105,745","115,354","126,050","130,659","131,708",""
"Energy sector  [T016] 4","111,938","114,875","116,639","120,248","122,228","121,158","119,048","112,981","117,191","122,534","121,278","125,168","134,451","132,618","131,488","139,849","146,383","146,621","136,864","141,654","148,609","149,809","153,997",""
"Industrial production (1950 definition)  [T017] 4","","","","","","340,384","328,731","292,779","310,383","325,002","324,251","329,674","345,890","344,362","343,515","356,356","368,060","367,317","339,441","355,999","371,068","371,439","370,075",""
"Public Sector  [T018] 4","","","","","","340,541","352,018","363,231","370,891","376,453","379,427","380,682","383,661","387,924","394,306","400,429","413,834","421,767","412,676","436,048","447,109","460,571","476,658",""
"Content and media sector  [T019] 4","","","","","","14,864","14,922","14,768","14,172","13,904","13,744","14,093","14,683","13,933","14,177","14,289","14,187","14,299","12,125","13,347","14,016","13,142","12,711",""
"All industries (except cannabis sector)  [T020] 4","1,494,069","1,521,554","1,569,763","1,618,599","1,662,212","1,694,292","1,705,446","1,649,432","1,706,394","1,762,021","1,794,408","1,840,005","1,892,118","1,908,050","1,927,610","1,987,357","2,043,414","2,082,948","1,984,424","2,103,302","2,187,956","2,223,921","2,261,054",""
"Cannabis sector  [T021] 4","2,309","2,397","2,424","2,510","2,678","2,771","2,813","2,962","3,037","3,151","3,285","3,575","3,810","4,062","4,111","4,174","4,758","6,642","7,734","8,309","9,354","9,216","9,902",""
"All industries (except unlicensed cannabis sector)  [T024] 4","1,494,078","1,521,564","1,569,773","1,618,608","1,662,219","1,694,304","1,705,460","1,649,444","1,706,407","1,762,035","1,794,425","1,840,024","1,892,153","1,908,099","1,927,708","1,987,560","2,044,082","2,086,173","1,989,178","2,108,917","2,194,737","2,230,471","2,268,360",""
"Agriculture, forestry, fishing and hunting  [11]","28,495","31,120","33,965","34,278","33,988","32,027","33,611","31,634","31,971","33,204","33,604","39,600","36,585","38,077","39,660","40,458","40,293","41,944","42,672","37,401","42,955","41,500","42,999",""
"Mining, quarrying, and oil and gas extraction  [21]","74,576","78,155","80,782","82,538","84,752","84,052","82,163","75,009","82,781","88,559","86,821","91,366","98,701","96,858","95,396","104,849","109,706","108,615","99,723","104,533","110,070","111,790","116,056",""
"Utilities  [22]","37,274","37,483","37,498","39,220","38,580","40,697","42,193","39,736","40,281","41,573","41,160","41,194","42,521","42,670","43,707","44,198","45,026","45,852","45,606","45,458","46,682","45,563","45,856",""
"Construction  [23]","102,134","104,918","110,602","115,670","119,999","126,584","129,857","121,801","131,208","136,143","146,727","152,974","156,837","153,323","146,008","151,266","155,425","156,469","152,931","163,804","166,178","164,932","164,404",""
"Manufacturing  [31-33]","227,963","224,772","229,158","233,478","229,327","222,042","209,727","180,329","188,554","195,086","197,637","196,823","202,706","203,842","203,288","207,309","213,328","212,850","194,112","206,008","214,316","214,086","208,163",""
"Wholesale trade  [41]","70,941","74,119","76,760","81,660","85,670","89,417","88,604","82,612","88,796","95,355","98,638","102,775","105,440","102,103","101,940","105,491","108,939","112,806","111,851","118,869","119,802","119,982","121,615",""
"Retail trade  [44-45]","70,810","73,057","75,495","78,083","82,796","85,740","88,384","86,278","88,815","89,627","90,017","95,017","96,073","96,005","99,670","102,302","105,104","107,230","103,635","110,647","112,439","114,391","116,589",""
"Transportation and warehousing  [48-49]","64,813","64,969","66,894","70,540","72,120","72,882","72,852","70,102","72,799","75,691","76,690","78,049","82,721","85,081","87,170","92,586","94,384","97,312","75,401","81,117","89,669","94,068","96,853",""
"Information and cultural industries  [51]","45,804","46,534","49,425","51,148","53,098","52,987","53,376","52,625","53,720","54,480","54,926","54,623","56,349","57,708","59,814","62,003","64,606","68,810","67,848","72,211","75,298","76,287","76,804",""
"Finance and insurance  [52]","83,087","84,240","88,655","91,867","99,295","103,436","101,867","101,137","103,278","106,833","108,774","112,801","115,960","121,675","125,895","134,990","138,434","142,119","146,890","158,593","161,746","162,389","167,624",""
"Real estate and rental and leasing  [53]","167,469","171,424","176,500","183,722","188,730","194,967","199,655","204,979","211,596","218,190","225,038","231,247","237,752","244,841","250,865","257,950","264,378","271,542","275,848","285,499","289,083","293,799","300,725",""
"Professional, scientific and technical services  [54]","80,906","83,992","85,610","88,194","92,922","96,720","100,013","97,606","97,771","102,481","105,286","108,167","113,727","113,309","115,957","119,863","125,392","130,965","129,595","144,152","157,598","164,361","166,486",""
"Management of companies and enterprises  [55]","","","","","","10,909","11,943","11,951","11,455","11,581","11,599","12,334","11,493","11,973","10,229","9,114","6,830","5,485","3,855","2,692","2,004","1,334","949",""
"Administrative and support, waste management and remediation services  [56]","42,357","43,579","46,285","48,551","49,833","52,331","51,686","49,504","50,345","50,986","53,401","53,772","55,905","56,935","56,914","56,280","58,039","58,831","50,507","55,492","58,121","58,773","58,721",""
"Educational services  [61]","79,614","81,642","83,829","86,767","88,962","92,924","96,242","97,692","99,633","100,463","102,384","103,934","105,412","106,735","107,362","109,031","112,880","114,789","110,257","115,835","118,252","121,080","126,368",""
"Health care and social assistance  [62]","113,551","117,048","119,236","120,948","123,396","126,541","129,394","132,389","134,403","136,725","138,833","139,011","141,194","143,254","146,601","148,358","153,291","156,461","154,071","165,037","170,389","176,227","183,000",""
"Arts, entertainment and recreation  [71]","14,377","13,970","14,213","13,686","13,668","13,769","13,854","13,755","13,305","13,272","13,285","13,365","14,154","14,432","14,846","15,605","15,906","16,701","10,646","12,669","16,864","18,458","18,865",""
"Accommodation and food services  [72]","36,301","35,443","36,425","36,871","36,990","37,419","37,676","37,839","37,643","38,446","39,348","40,792","43,176","44,299","45,473","45,990","47,011","48,576","31,305","37,010","44,694","46,775","47,206",""
"Other services (except public administration)  [81]","32,475","32,809","33,509","34,469","35,424","35,812","36,782","36,303","35,925","36,938","37,677","38,600","39,898","40,062","39,418","40,848","41,537","41,716","37,057","39,408","42,682","44,078","44,383",""
"Public administration  [91]","107,489","109,554","111,789","113,815","118,737","121,071","126,361","133,185","136,900","139,344","138,218","137,704","137,041","137,930","140,337","143,040","147,663","150,517","148,348","155,176","158,468","163,264","167,290",""

Symbol legend:
..., not applicable




Footnotes:
1,"Aggregates are not always equal to the sum of their components."
2,"At the lowest level of detail, it may not be possible to produce a homogeneous series from 1997 to the present. Only industries and certain aggregates that provide good continuity back to 1997 have data from 1997 to 2006."
3,"Effective November 30, 2023, the data is presented on a 2017 reference year basis."
4,"The alphanumeric code appearing in square brackets beside the industry title represents the identification code of an aggregation of NAICS industries, whose definition is included in the full classification provided in the definitions, data sources and methods for the statistical program <a href="https://www23.statcan.gc.ca/imdb/p2SV.pl?Function=getSurvey&SDDS=1301" rel="external noopener noreferrer" target="_blank">1301 - Gross domestic product by Industry - National (Monthly) (opens new window)</a>."



"How to cite: Statistics Canada. Table 36-10-0434-03  Gross domestic product (GDP) at basic prices, by industry, annual average (x 1,000,000)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610043403
