company_id_raw,company_id,year,company_name,company_trade_name,province,num_provinces,multi_province_dummy,naics_code_3digit,num_facilities,total_emissions_co2e,intensity_co2e_per_m_gdp,carbon_price_real_2015,exposure_price_it,green_patent_count,unique_patents,green_patent_stock,green_patent_intensity
102078290 SASKATCHEWAN LTD,102078290 SASKATCHEWAN LTD,2019,102078290 Saskatchewan Ltd.,Terra Grain Fuels,Saskatchewan,1,0,325,1,67490.2077,244.20568648954583,18.61764705882353,3656.444585787376,1.0,2.0,11.26690365590128,0.00016694130955980565
102078290 SASKATCHEWAN LTD,102078290 SASKATCHEWAN LTD,2020,102078290 Saskatchewan Ltd.,Co-op Ethanol Complex,Saskatchewan,1,0,325,1,70410.2491,222.61193422307605,27.72262773722628,5444.632813873172,2.333333333333333,5.0,11.91020144084942,0.0001691543716019806
102078290 SASKATCHEWAN LTD,102078290 SASKATCHEWAN LTD,2021,102078290 Saskatchewan Ltd.,Co-op Ethanol Complex,Saskatchewan,1,0,325,1,71531.0039,219.74985531541788,35.76271186440678,7023.678865354282,3.9166666666666665,8.0,14.040337891388672,0.00019628324958247473
102078290 SASKATCHEWAN LTD,102078290 SASKATCHEWAN LTD,2022,102078290 Saskatchewan Ltd.,Co-op Ethanol Complex,Saskatchewan,1,0,325,1,67089.7488,494.1800175406857,41.86507936507937,8222.163751109178,0.5833333333333333,2.0,12.517620541013706,0.000186580226709892
102078290 SASKATCHEWAN LTD,102078290 SASKATCHEWAN LTD,2023,102078290 Saskatchewan Ltd.,Co-op Ethanol Complex,Saskatchewan,1,0,325,1,75444.9439,572.3322442669628,52.38064926798218,10287.38705867613,1.0,2.0,11.63997745986165,0.00015428439413103798
1287755 ONTARIO INC,1287755 ONTARIO INC,2019,1287755 Ontario Inc,Pinnacle Acres,Ontario,1,0,111,1,14093.087,69.76083837288283,,,0.0,0.0,0.0,0.0
1287755 ONTARIO INC,1287755 ONTARIO INC,2020,1287755 Ontario Inc,Pinnacle Acres,Ontario,1,0,111,1,13335.529,70.62269731215787,,,0.0,0.0,0.0,0.0
1287755 ONTARIO INC,1287755 ONTARIO INC,2021,1287755 Ontario Inc,Pinnacle Acres,Ontario,1,0,111,1,13241.1668,71.10554274043585,,,0.0,0.0,0.0,0.0
1287755 ONTARIO INC,1287755 ONTARIO INC,2022,1287755 Ontario Inc,Pinnacle Acres,Ontario,1,0,111,1,12890.74785,141.16147000858854,,,0.0,0.0,0.0,0.0
1287755 ONTARIO INC,1287755 ONTARIO INC,2023,1287755 Ontario Inc,Pinnacle Acres,Ontario,1,0,111,1,26435.7315,136.84909339861147,,,0.0,0.0,0.0,0.0
1329606 ONTARIO LIMITED,1329606 ONTARIO LIMITED,2017,1329606 Ontario Limited,,Ontario,1,0,111,1,13934.227,60.0637051499764,,,0.0,0.0,0.0,0.0
1329606 ONTARIO LIMITED,1329606 ONTARIO LIMITED,2018,1329606 Ontario Limited,,Ontario,1,0,111,1,16716.024,56.93276161547089,,,0.0,0.0,0.0,0.0
1329606 ONTARIO LIMITED,1329606 ONTARIO LIMITED,2019,1329606 Ontario Limited,,Ontario,1,0,111,1,15042.883,69.76083837288283,,,0.0,0.0,0.0,0.0
1329606 ONTARIO LIMITED,1329606 ONTARIO LIMITED,2020,1329606 Ontario Limited,,Ontario,1,0,111,1,14154.9948,70.62269731215787,,,0.0,0.0,0.0,0.0
1329606 ONTARIO LIMITED,1329606 ONTARIO LIMITED,2021,1329606 Ontario Limited,,Ontario,1,0,111,1,13947.26559,71.10554274043585,,,0.0,0.0,0.0,0.0
